PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AnxietyLevel,FocusLevel
S801, ,Sleeping,08/03/2021,24,Monday,00:00,07:00,420,2,0,1
O733, ,Getting ready,08/03/2021,24,Monday,07:00,07:30,29,1,0,1
X893,UD415,Exercising while listening music,08/03/2021,24,Monday,07:30,08:15,45,2,0,2
ED152, ,Breakfast,08/03/2021,24,Monday,08:15,08:45,29,1,0,0
CW982, ,ADS Lab 3,08/03/2021,24,Monday,08:45,11:15,150,1,2,3
H179, ,Room and desk cleaning,08/03/2021,24,Monday,11:15,11:45,29,-1,0,1
CW982, ,Preparing for ENTP presentation,08/03/2021,24,Monday,11:45,12:45,60,1,1,2
ED152,UD415,Having lunch while watching BBC news,08/03/2021,24,Monday,12:45,13:15,30,2,0,2
EL642,UD415,Online ENTP lecture,08/03/2021,24,Monday,13:15,14:15,59,0,1,3
L418,UD415,Video call at home,08/03/2021,24,Monday,14:15,14:45,30,2,0,0
CW982, ,BML coursework 2,08/03/2021,24,Monday,14:45,17:15,149,-1,2,3
L418, ,Walking in park,08/03/2021,24,Monday,17:15,17:45,30,2,0,0
ED152,UD415,Eating snack while browsing social media sites,08/03/2021,24,Monday,17:45,18:15,29,1,0,1
CW982, ,ML2 coursework,08/03/2021,24,Monday,18:15,20:45,150,1,2,3
L418, ,Meditation,08/03/2021,24,Monday,20:45,21:15,29,1,0,3
ED152,UD415,Having dinner while watching Netflix,08/03/2021,24,Monday,21:15,22:00,45,2,0,1
L418, ,Converstaion with flatmates,08/03/2021,24,Monday,22:00,23:00,60,1,0,1
R253, ,Reading novel,08/03/2021,24,Monday,23:00,00:00,59,2,0,2
S801, ,Sleeping,09/03/2021,24,Tuesday,00:00,07:00,420,2,0,1
O733, ,Getting ready,09/03/2021,24,Tuesday,07:00,07:30,29,1,0,0
X893,UD415,Exercising while listening music,09/03/2021,24,Tuesday,07:30,08:15,45,2,0,2
ED152, ,Breakfast,09/03/2021,24,Tuesday,08:15,08:45,29,1,0,0
CW982, ,ML2 coursework,09/03/2021,24,Tuesday,08:45,10:15,90,1,2,3
EL642,UD415,ADS LOIL session,09/03/2021,24,Tuesday,10:15,11:15,60,1,1,3
L418, ,Meditation,09/03/2021,24,Tuesday,11:15,12:15,59,1,0,3
EL642,UD415,Online BML lecture,09/03/2021,24,Tuesday,12:15,13:15,60,0,2,3
ED152, ,Lunch,09/03/2021,24,Tuesday,13:15,13:45,29,1,0,0
H179, ,Kitchen cleaning,09/03/2021,24,Tuesday,13:45,14:15,30,-2,1,1
CW982, ,BML coursework 2,09/03/2021,24,Tuesday,14:15,15:15,59,-1,2,3
EL642,UD415,Online ENTP lecture,09/03/2021,24,Tuesday,15:15,16:15,60,1,0,2
EL642,UD415,Online Research Project Preparation lecture,09/03/2021,24,Tuesday,16:15,18:15,119,0,2,3
ED152, ,Eating snack while browsing social media sites,09/03/2021,24,Tuesday,18:15,18:45,30,2,0,0
L418, ,Jogging,09/03/2021,24,Tuesday,18:45,19:30,45,1,0,0
CW982, ,ADS Lab 3,09/03/2021,24,Tuesday,19:30,21:30,120,1,2,3
ED152,UD415,Having dinner while watching Netflix,09/03/2021,24,Tuesday,21:30,22:30,59,2,0,0
UD415, ,Online chatting with friend,09/03/2021,24,Tuesday,22:30,23:00,30,2,0,1
R253, ,Reading novel,09/03/2021,24,Tuesday,23:00,00:00,59,2,0,2
S801, ,Sleeping,10/03/2021,24,Wednesday,00:00,08:00,480,2,0,1
O733, ,Getting ready,10/03/2021,24,Wednesday,08:00,08:45,45,1,0,1
ED152, ,Breakfast,10/03/2021,24,Wednesday,08:45,09:15,30,1,0,0
EL642,UD415,Online IPT session,10/03/2021,24,Wednesday,09:15,13:15,240,0,1,2
ED152,UD415,Having lunch while watching BBC news,10/03/2021,24,Wednesday,13:15,14:15,59,1,0,2
L418,UD415,Video call at home,10/03/2021,24,Wednesday,14:15,14:45,30,2,0,0
CW982, ,ADS Lab 3,10/03/2021,24,Wednesday,14:45,16:45,119,1,2,3
T695, ,Grocery shopping,10/03/2021,24,Wednesday,16:45,17:30,45,0,0,2
H179, ,Laundary,10/03/2021,24,Wednesday,17:30,18:00,30,-1,1,1
ED152,UD415,Eating snack and listening music ,10/03/2021,24,Wednesday,18:00,18:30,30,2,0,0
CW982, ,ML2 coursework,10/03/2021,24,Wednesday,18:30,20:30,119,1,2,3
L418, ,Converstaion with flatmates,10/03/2021,24,Wednesday,20:30,21:00,30,2,0,1
ED152,UD415,Having dinner while watching Netflix,10/03/2021,24,Wednesday,21:00,22:00,59,2,0,0
CW982, ,BML coursework 2,10/03/2021,24,Wednesday,22:00,23:30,90,0,2,3
R253, ,Reading novel,10/03/2021,24,Wednesday,23:30,00:00,30,2,0,2
