PrimaryActivityCode,SecondaryActivityCode,Descriptive Label,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Coffees,Teas
S801,,,2021-03-08,24,Monday,00:00,11:30,690,,,
O733,,Shower and get dressed,2021-03-08,24,Monday,11:30,11:45,15,,,
ED145,UD415,Breakfast with Coffee,2021-03-08,24,Monday,11:45,12:15,30,,1.0,
L418,UD415,Watching Netflix,2021-03-08,24,Monday,12:15,13:00,45,1.0,,
UD415,,Procrastinating,2021-03-08,24,Monday,13:00,13:30,30,,,
R523,CW982,Reading Emails and looking at coursework,2021-03-08,24,Monday,13:30,13:45,15,-1.0,,
CW982,UD415,Doing Coursework,2021-03-08,24,Monday,13:45,15:00,75,,1.0,
EL642,R523,Catching up with RL,2021-03-08,24,Monday,15:00,16:30,90,0.0,1.0,
L418,UD415,Watching Netflix,2021-03-08,24,Monday,16:30,17:15,45,1.0,,
ED145,H179,Meal and doing dishes,2021-03-08,24,Monday,17:15,18:00,45,,,
CW982,UD415,Doing Coursework,2021-03-08,24,Monday,18:00,19:00,60,,,
L418,ED145,Getting Drunk on a Monday night,2021-03-08,24,Monday,19:00,23:30,270,1.0,,
S801,,sleep,2021-03-08,24,Monday,23:30,12:00,750,,,
ED145,UD415,Watching show on Netflix With coffee,2021-03-09,24,Tuesday,12:00,13:00,60,0.0,1.0,
O733,,Shower and get dressed,2021-03-09,24,Tuesday,13:00,13:15,15,,,
H179,,Doing Dishes and Laundry,2021-03-09,24,Tuesday,13:15,13:30,15,0.0,,
CW982,R523,Reading Emails and looking at coursework,2021-03-09,24,Tuesday,13:30,13:45,15,-1.0,1.0,
CW982,UD415,Doing Coursework,2021-03-09,24,Tuesday,13:45,15:30,105,0.0,1.0,
H179,,Finishing Laundry,2021-03-09,24,Tuesday,15:30,15:45,15,0.0,,
CW982,UD415,Doing Coursework,2021-03-09,24,Tuesday,15:45,17:00,75,-2.0,1.0,
ED145,L418,Watching Show while cooking/eating,2021-03-09,24,Tuesday,17:00,18:00,60,0.0,,
CW982,UD415,Doing Coursework,2021-03-09,24,Tuesday,18:00,18:30,30,,,
L418,,Playing Music,2021-03-09,24,Tuesday,18:30,19:15,45,1.0,,
CW982,UD415,Doing Coursework,2021-03-09,24,Tuesday,19:15,20:00,45,0.0,,
L418,UD415,Video Games,2021-03-09,24,Tuesday,20:00,21:30,90,2.0,,
H179,O733,Miscellaneous chores and conversation,2021-03-09,24,Tuesday,21:30,22:00,30,,,
ED145,,Meal,2021-03-09,24,Tuesday,22:00,22:30,30,,,
CW982,UD415,Doing Coursework,2021-03-09,24,Tuesday,22:30,23:15,45,,,
S801,,,2021-03-09,24,Tuesday,23:15,09:00,585,,,
UD415,L418,Procrastinating,2021-03-10,24,Wednesday,09:00,11:15,135,0.0,,
O733,,"Getting up, showering",2021-03-10,24,Wednesday,11:15,11:45,30,,,
ED145,,Breakfast with Coffee,2021-03-10,24,Wednesday,11:45,12:00,15,,1.0,
EL642,R523,Catching up with content,2021-03-10,24,Wednesday,12:00,14:00,120,,1.0,
CW982,,Doing Coursework,2021-03-10,24,Wednesday,14:00,15:00,60,0.0,1.0,
EL642,,Tutor Meeting,2021-03-10,24,Wednesday,15:00,17:15,135,1.0,,
ED145,H179,Dishes and making/eating food,2021-03-10,24,Wednesday,17:15,18:00,45,,,
CW982,UD415,Doing Coursework,2021-03-10,24,Wednesday,18:00,20:00,120,-1.0,,
L418,O733,Conversation with football,2021-03-10,24,Wednesday,20:00,20:45,45,1.0,,
CW982,UD415,Planning for future work at half time,2021-03-10,24,Wednesday,20:45,21:00,15,,,
L418,O733,Conversation with football,2021-03-10,24,Wednesday,21:00,22:00,60,1.0,,
H179,O733,Completing census and other admin,2021-03-10,24,Wednesday,22:00,23:00,60,,,
S801,,Asleep,2021-03-10,24,Wednesday,23:00,12:00,780,,,
