PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
CW982,,Coursework,2021-03-04,23,Thursday,00:00:00,00:30:00,30.0,0.0,2.0,-1.0
L418,,Leisure,2021-03-04,23,Thursday,00:30:00,03:15:00,165.0,2.0,1.0,1.0
S801,,Sleep,2021-03-04,23,Thursday,03:15:00,11:00:00,465.0,2.0,0.0,2.0
ED145,,Eating / Drinking,2021-03-04,23,Thursday,11:00:00,11:30:00,30.0,1.0,1.0,-1.0
L418,,Leisure,2021-03-04,23,Thursday,11:30:00,13:00:00,90.0,0.0,1.0,-1.0
CW982,,Coursework,2021-03-04,23,Thursday,13:00:00,13:30:00,30.0,-1.0,2.0,-1.0
O733,,Other,2021-03-04,23,Thursday,13:30:00,14:30:00,60.0,0.0,0.0,1.0
CW982,,Coursework,2021-03-04,23,Thursday,14:30:00,17:15:00,165.0,-1.0,5.0,-1.0
EL642,,Education / Lectures,2021-03-04,23,Thursday,17:15:00,18:15:00,60.0,0.0,0.0,2.0
EL642,,Education / Lectures,2021-03-04,23,Thursday,18:15:00,19:15:00,60.0,1.0,1.0,1.0
ED145,,Eating / Drinking,2021-03-04,23,Thursday,19:15:00,20:15:00,60.0,2.0,2.0,-1.0
L418,,Leisure,2021-03-04,23,Thursday,20:15:00,21:15:00,60.0,2.0,1.0,2.0
R523,,Reading,2021-03-04,23,Thursday,21:15:00,22:15:00,60.0,1.0,1.0,2.0
EL642,,Education / Lectures,2021-03-04,23,Thursday,22:15:00,00:00:00,105.0,1.0,2.0,1.0
EL642,,Education / Lectures,2021-03-05,23,Friday,00:00:00,00:15:00,15.0,1.0,2.0,-1.0
O733,,Other,2021-03-05,23,Friday,00:15:00,00:45:00,30.0,0.0,0.0,2.0
R523,,Reading,2021-03-05,23,Friday,00:45:00,01:15:00,30.0,2.0,0.0,1.0
L418,,Leisure,2021-03-05,23,Friday,01:15:00,02:30:00,75.0,2.0,2.0,1.0
S801,,Sleep,2021-03-05,23,Friday,02:30:00,11:30:00,540.0,2.0,0.0,2.0
ED145,,Eating / Drinking,2021-03-05,23,Friday,11:30:00,12:15:00,45.0,1.0,1.0,-1.0
L418,,Leisure,2021-03-05,23,Friday,12:15:00,13:30:00,75.0,2.0,0.0,1.0
O733,,Other,2021-03-05,23,Friday,13:30:00,14:00:00,30.0,0.0,0.0,1.0
CW982,,Coursework,2021-03-05,23,Friday,14:00:00,17:15:00,195.0,0.0,4.0,1.0
EL642,,Education / Lectures,2021-03-05,23,Friday,17:15:00,18:15:00,60.0,0.0,2.0,-1.0
EL642,,Education / Lectures,2021-03-05,23,Friday,18:15:00,18:30:00,15.0,-2.0,0.0,-2.0
L418,,Leisure,2021-03-05,23,Friday,18:30:00,19:00:00,30.0,2.0,1.0,1.0
ED145,,Eating / Drinking,2021-03-05,23,Friday,19:00:00,19:30:00,30.0,2.0,2.0,1.0
CW982,,Coursework,2021-03-05,23,Friday,19:30:00,20:15:00,45.0,1.0,2.0,2.0
EL642,,Education / Lectures,2021-03-05,23,Friday,20:15:00,21:15:00,60.0,0.0,2.0,-1.0
O733,,Other,2021-03-05,23,Friday,21:15:00,21:45:00,30.0,0.0,0.0,1.0
R523,,Reading,2021-03-05,23,Friday,21:45:00,23:45:00,120.0,2.0,2.0,2.0
R523,,Reading,2021-03-05,23,Friday,23:45:00,00:00:00,15.0,2.0,0.0,2.0
R523,,Reading,2021-03-06,23,Saturday,00:00:00,01:00:00,60.0,1.0,1.0,1.0
CW982,,Coursework,2021-03-06,23,Saturday,01:00:00,02:15:00,75.0,1.0,1.0,1.0
L418,,Leisure,2021-03-06,23,Saturday,02:15:00,04:15:00,120.0,2.0,1.0,1.0
S801,,Sleep,2021-03-06,23,Saturday,04:15:00,12:00:00,465.0,2.0,0.0,2.0
ED145,,Eating / Drinking,2021-03-06,23,Saturday,12:00:00,12:30:00,30.0,2.0,1.0,-1.0
L418,,Leisure,2021-03-06,23,Saturday,12:30:00,13:00:00,30.0,2.0,0.0,2.0
O733,,Other,2021-03-06,23,Saturday,13:00:00,13:30:00,30.0,1.0,0.0,1.0
R523,,Reading,2021-03-06,23,Saturday,13:30:00,15:00:00,90.0,1.0,2.0,1.0
CW982,,Coursework,2021-03-06,23,Saturday,15:00:00,17:00:00,120.0,-1.0,2.0,-1.0
CW982,,Coursework,2021-03-06,23,Saturday,17:00:00,21:00:00,240.0,-1.0,4.0,-1.0
O733,,Other,2021-03-06,23,Saturday,21:00:00,21:30:00,30.0,1.0,0.0,1.0
R523,,Reading,2021-03-06,23,Saturday,21:30:00,00:00:00,150.0,1.0,2.0,-1.0
