PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Indoors,Screentime
S801, ,sleep,02/03/21,23,Tuesday,23:30,07:30,480000,1,y,n
ED145, ,Eating breakfast,03/03/21,23,Wednesday,07:30,08:45,75000,1,y,n
LE452, ,Lectures,03/03/21,23,Wednesday,08:45,11:15,150000,0,y,y
X893, ,Workout,03/03/21,23,Wednesday,11:15,11:45,30000,1,y,n
CW982,UD415,Coursework on laptop,03/03/21,23,Wednesday,11:45,15:45,240000,0,y,y
ED145,,Food,03/03/21,23,Wednesday,15:45,16:00,15000,0,y,n
CW982,UD415,Coursework on laptop,03/03/21,23,Wednesday,16:00,19:00,180000,0,y,y
H179, ,Cooking,03/03/21,23,Wednesday,19:00,19:30,30000,0,y,n
ED145, ,Dinner,03/03/21,23,Wednesday,19:30,20:30,60000,0,y,n
L418,UD415,More netflix,03/03/21,23,Wednesday,20:30,22:30,120000,2,y,y
S801, ,Bed,03/03/21,23,Wednesday,23:30,09:00,570000,0,y,n
ED145, ,Eating breakfast,04/03/21,23,Thursday,09:00,09:30,30000,1,y,n
EL642, ,Lectures,04/03/21,23,Thursday,10:00,12:15,150000,-1,y,y
CW982,UD415,Coursework on laptop,04/03/21,23,Thursday,12:15,16:00,225000,1,y,y
ED145,,Food,04/03/21,23,Thursday,15:30,16:00,30000,1,y,n
CW982,UD415,Coursework on laptop,04/03/21,23,Thursday,16:00,18:00,120000,0,y,y
L418,UD415,Relaxing with netflix,04/03/21,23,Thursday,18:00,19:00,60000,0,y,y
H179, ,Cooking,04/03/21,23,Thursday,19:00,20:00,60000,0,y,n
DI297, ,Dinner,04/03/21,23,Thursday,20:00,20:30,30000,1,y,n
L418,UD415,Browsing web,04/03/21,23,Thursday,20:30,22:30,120000,1,y,y
S801, ,sleeping,04/03/21,23,Thursday,23:30,08:00,510000,1,y,n
ED145, ,Eating breakfast,05/03/21,23,Friday,08:00,08:45,45000,1,y,n
CW982, ,coursework,05/03/21,23,Friday,08:45,11:15,150000,0,y,n
X893, ,Workout,05/03/21,23,Friday,11:15,11:45,30000,-1,y,n
CW982,UD415,Coursework on laptop,05/03/21,23,Friday,11:45,16:00,255000,0,y,y
ED145,,Food,05/03/21,23,Friday,16:00,16:15,15000,1,y,n
CW982,UD415,Coursework on laptop,05/03/21,23,Friday,16:00,19:00,180000,0,y,y
H179, ,Cooking,05/03/21,23,Friday,19:00,19:30,30000,1,y,n
ED145, ,Dinner,05/03/21,23,Friday,19:30,20:30,60000,1,y,n
L418,UD415,More netflix,05/03/21,23,Friday,20:30,22:30,120000,2,y,y
S801, ,Bed,05/03/21,23,Friday,23:30,08:00,510000,1,y,n
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
