PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AnxietyStressLevel,Outside
S801,,,08/03/2021,24,Monday,00:00,03:30,210,-1,2,0
UD415,,"Using phone, social media",08/03/2021,24,Monday,03:30,05:30,120,0,1,0
S801,,,08/03/2021,24,Monday,05:30,10:15,285,1,0,0
O733,,Shower,08/03/2021,24,Monday,10:15,10:30,15,0,0,0
CW982,UD415,Coursework on laptop,08/03/2021,24,Monday,10:30,11:45,75,0,1,0
EL642,UD415,Lectures on laptop,08/03/2021,24,Monday,11:45,12:15,30,1,1,0
H179,,Laundry,08/03/2021,24,Monday,12:15,12:30,15,-2,1,0
EL642,UD415,Lectures on laptop,08/03/2021,24,Monday,12:30,13:45,75,0,2,0
ED145,,Cooking and Eating lunch,08/03/2021,24,Monday,13:45,15:15,90,-1,0,0
UD415,,Watching Youtube on laptop,08/03/2021,24,Monday,15:15,15:30,15,1,0,0
EL642,UD415,Lectures on laptop,08/03/2021,24,Monday,15:30,18:00,150,0,1,0
L418,UD415,Watching TV with house,08/03/2021,24,Monday,18:00,20:00,120,2,2,0
EL642,UD415,Lectures on laptop,08/03/2021,24,Monday,20:00,21:00,60,-1,2,0
O733,,Food shopping,08/03/2021,24,Monday,21:00,21:30,30,1,1,0
EL642,UD415,Lectures on laptop,08/03/2021,24,Monday,21:30,00:00,150,-1,1,0
ED145,,Cooking and Eating Dinner,09/03/2021,24,Tuesday,00:00,00:30,30,-1,0,0
UD415,,Watching Youtube on laptop,09/03/2021,24,Tuesday,00:30,00:45,15,1,0,0
EL642,,Lectures on laptop,09/03/2021,24,Tuesday,00:45,02:45,120,-1,2,0
H179,,Clean dishes and kitchen,09/03/2021,24,Tuesday,02:45,03:00,15,-2,2,0
EL642,UD415,Lectures on laptop,09/03/2021,24,Tuesday,03:00,03:45,45,-1,1,0
UD415,,Social Media on phone,09/03/2021,24,Tuesday,03:45,04:30,45,1,1,0
S801,,,09/03/2021,24,Tuesday,04:30,12:30,480,1,1,0
O733,,Shower,09/03/2021,24,Tuesday,12:30,12:45,15,1,0,0
H179,,Cleaning Room,09/03/2021,24,Tuesday,12:45,14:00,75,-1,1,0
ED145,,Cooking and Eating Lunch,09/03/2021,24,Tuesday,14:00,15:00,60,1,0,0
UD415,,Watching Youtube on laptop,09/03/2021,24,Tuesday,15:00,15:30,30,1,1,0
EL642,UD415,Lectures on laptop,09/03/2021,24,Tuesday,15:30,16:30,60,-1,2,0
L418,,Chatting with house,09/03/2021,24,Tuesday,16:30,17:15,45,1,1,0
T695,,Travelling to work,09/03/2021,24,Tuesday,17:15,18:00,45,-1,2,0
PW101,,,09/03/2021,24,Tuesday,18:00,21:00,180,2,0,1
T695,,Travelling to other work,09/03/2021,24,Tuesday,21:00,21:45,45,-1,1,0
ED145,,Eating Dinner,09/03/2021,24,Tuesday,21:45,22:00,15,1,2,0
PW101,,,09/03/2021,24,Tuesday,22:00,00:00,120,-1,2,0
PW101,,,10/03/2021,24,Wednesday,00:00,06:00,360,-1,2,0
T695,,Travelling home,10/03/2021,24,Wednesday,06:00,06:15,15,-1,3,0
UD415,,Watching Youtube on phone,10/03/2021,24,Wednesday,06:15,06:45,30,0,1,0
S801,,,10/03/2021,24,Wednesday,06:45,12:45,360,-1,2,0
UD415,,Social Media on phone,10/03/2021,24,Wednesday,12:45,14:30,105,0,1,0
ED145,,Cooking and Eating Lunch,10/03/2021,24,Wednesday,14:30,16:00,90,-1,2,0
EL642,UD415,Lectures on laptop,10/03/2021,24,Wednesday,16:00,17:00,60,-1,2,0
UD415,,Watching Youtube on laptop,10/03/2021,24,Wednesday,17:00,17:45,45,1,1,0
S801,,,10/03/2021,24,Wednesday,17:45,20:15,150,-1,2,0
UD415,,Social Media on phone,10/03/2021,24,Wednesday,20:15,21:00,45,-1,2,0
ED145,,Cooking and Eating Dinner,10/03/2021,24,Wednesday,21:00,21:30,30,0,2,0
UD415,,Social Media on phone,10/03/2021,24,Wednesday,21:30,22:45,75,-1,2,0
T695,,Travelling to work,10/03/2021,24,Wednesday,22:45,23:00,15,-1,2,0
PW101,,,10/03/2021,24,Wednesday,23:00,00:00,60,-1,2,0
