PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,DaydreamingScore,SocialMediaUsage
R523,,,06/03/2021,23,Saturday,08:00:00,10:00:00,120,2,1,0
ED145,L418,,06/03/2021,23,Saturday,10:00:00,12:00:00,120,2,0,0
X893,L418,,06/03/2021,23,Saturday,12:00:00,14:00:00,120,2,1,1
ED145,L418,,06/03/2021,23,Saturday,14:00:00,15:00:00,60,0,2,2
CW982,UD415,,06/03/2021,23,Saturday,15:00:00,19:00:00,240,0,2,2
T695,UD415,,06/03/2021,23,Saturday,19:00:00,19:30:00,30,1,3,0
PW101,UD415,,06/03/2021,23,Saturday,19:30:00,22:30:00,180,-1,2,2
T695,UD415,,06/03/2021,23,Saturday,22:30:00,23:00:00,30,0,2,0
ED145,UD415,,06/03/2021,23,Saturday,23:00:00,23:15:00,15,1,2,3
S801,UD415,,06/03/2021,23,Saturday,23:15:00,09:00:00,585,2,0,0
X893,UD415,,07/03/2021,23,Sunday,09:00:00,11:00:00,119,2,0,0
CW982,UD415,,07/03/2021,23,Sunday,11:00:00,15:00:00,240,1,1,1
ED145,UD415,,07/03/2021,23,Sunday,15:00:00,16:00:00,60,1,2,2
CW982,UD415,,07/03/2021,23,Sunday,16:00:00,20:00:00,240,0,2,1
L418,ED145,,07/03/2021,23,Sunday,20:00:00,22:30:00,150,2,0,1
S801,ED145,,07/03/2021,23,Sunday,22:30:00,07:30:00,540,2,0,0
CW982,UD415,,08/03/2021,24,Monday,07:30:00,10:00:00,150,1,2,2
ED145,UD415,,08/03/2021,24,Monday,10:00:00,10:30:00,30,0,3,3
CW982,UD415,,08/03/2021,24,Monday,10:30:00,14:00:00,210,-1,3,3
ED145,UD415,,08/03/2021,24,Monday,14:00:00,15:00:00,60,1,1,1
X893,UD415,,08/03/2021,24,Monday,15:00:00,17:00:00,120,2,0,0
L418,UD415,,08/03/2021,24,Monday,17:00:00,18:30:00,89,2,0,0
ED145,UD415,,08/03/2021,24,Monday,18:30:00,19:30:00,60,1,2,2
X893,UD415,,08/03/2021,24,Monday,19:30:00,20:30:00,60,2,0,0
L418,UD415,,08/03/2021,24,Monday,20:30:00,22:00:00,90,2,0,0
S801,UD415,,08/03/2021,24,Monday,22:00:00,07:30:00,570,2,0,0
