PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,efficiency index of the activity,number of times we pick up phone 
S801,,sleep,2021-03-08,24.0,Monday,23:00:00,08:00:00,540.0,1.0,,
ED145,,breakfast,2021-03-09,24.0,Tuesday,08:00:00,09:00:00,60.0,1.0,,
L418,,playing,2021-03-09,24.0,Tuesday,09:00:00,10:00:00,60.0,2.0,,
R523,CW982,study,2021-03-09,24.0,Tuesday,10:00:00,12:30:00,150.0,-1.0,high efficiency,5.0
ED145,,lunch,2021-03-09,24.0,Tuesday,12:30:00,13:30:00,60.0,1.0,,
S801,,sleep,2021-03-09,24.0,Tuesday,13:30:00,14:30:00,60.0,1.0,,
EL642,,study,2021-03-09,24.0,Tuesday,14:30:00,18:30:00,240.0,-1.0,high efficiency,6.0
ED145,,dinner,2021-03-09,24.0,Tuesday,18:30:00,19:30:00,60.0,1.0,,
CW982,R523,study,2021-03-09,24.0,Tuesday,19:30:00,23:00:00,210.0,-2.0,high efficiency,10.0
X893,,running,2021-03-09,24.0,Tuesday,23:15:00,23:45:00,30.0,-1.0,,
S801,,sleep,2021-03-09,24.0,Tuesday,23:45:00,09:00:00,555.0,1.0,,
ED145,,breakfast,2021-03-10,24.0,Wednesday,09:30:00,09:45:00,15.0,1.0,,
L418,,pc games,2021-03-10,24.0,Wednesday,09:45:00,12:00:00,135.0,2.0,,
ED145,,lunch,2021-03-10,24.0,Wednesday,12:00:00,13:00:00,60.0,1.0,,
R523,,study,2021-03-10,24.0,Wednesday,13:15:00,16:30:00,195.0,-1.0,high efficiency,5.0
X893,,running,2021-03-10,24.0,Wednesday,17:00:00,18:00:00,60.0,1.0,,
ED145,,dinner,2021-03-10,24.0,Wednesday,18:00:00,19:00:00,60.0,1.0,,
CW982,,study,2021-03-10,24.0,Wednesday,19:30:00,23:30:00,240.0,-2.0,high efficiency,16.0
L418,,watch tv,2021-03-10,24.0,Wednesday,23:30:00,01:00:00,90.0,2.0,,
S801,,sleep,2021-03-11,24.0,Thursday,01:00:00,10:30:00,570.0,1.0,,
ED145,,lunch,2021-03-11,24.0,Thursday,11:00:00,12:30:00,90.0,1.0,,
EL642,,study,2021-03-11,24.0,Thursday,13:00:00,17:15:00,255.0,-1.0,low efficiency,18.0
L418,ED145,vedio,2021-03-11,24.0,Thursday,17:15:00,19:00:00,105.0,1.0,,
CW982,R523,study,2021-03-11,24.0,Thursday,19:00:00,22:30:00,210.0,0.0,low efficiency,16.0
S801,,,2021-03-11,24.0,Thursday,23:00:00,08:00:00,540.0,1.0,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,0.0,,,
,,,,,,,,0.0,,,
,,,,,,,,0.0,,,
