,PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
0,S801,,,2021-03-08,24.0,Monday,00:00:00,08:00:00,480.0,,,Y
1,ED145,UD415,Breakfast,2021-03-08,24.0,Monday,08:00:00,08:15:00,15.0,,,Y
2,CW982,,,2021-03-08,24.0,Monday,08:15:00,09:30:00,75.0,0.0,4.0,Y
3,UD415,,,2021-03-08,24.0,Monday,09:30:00,10:30:00,60.0,2.0,,Y
4,CW982,,,2021-03-08,24.0,Monday,10:30:00,12:30:00,120.0,0.0,3.0,Y
5,ED145,UD415,Lunch,2021-03-08,24.0,Monday,12:30:00,13:00:00,30.0,,,Y
6,X893,,Walking,2021-03-08,24.0,Monday,13:00:00,13:45:00,45.0,1.0,,Y
7,R523,,,2021-03-08,24.0,Monday,13:45:00,14:15:00,30.0,1.0,,Y
8,CW982,,,2021-03-08,24.0,Monday,14:15:00,15:15:00,60.0,0.0,3.0,Y
9,L418,,Playing Games,2021-03-08,24.0,Monday,15:15:00,16:00:00,45.0,2.0,,Y
10,CW982,,,2021-03-08,24.0,Monday,16:00:00,17:30:00,90.0,0.0,2.0,Y
11,UD415,,,2021-03-08,24.0,Monday,17:30:00,18:30:00,60.0,2.0,,N
12,ED145,,Dinner,2021-03-08,24.0,Monday,18:30:00,19:30:00,60.0,,,N
13,L418,,,2021-03-08,24.0,Monday,19:30:00,22:00:00,150.0,2.0,,N
14,UD415,,,2021-03-08,24.0,Monday,22:00:00,23:30:00,90.0,,,N
15,S801,,,2021-03-08,24.0,Monday,23:30:00,23:59:00,30.0,,,N
16,S801,,,2021-03-09,24.0,Tuesday,00:00:00,09:00:00,540.0,,,N
17,ED145,,,2021-03-09,24.0,Tuesday,09:00:00,09:15:00,15.0,1.0,,Y
18,EL642,,,2021-03-09,24.0,Tuesday,09:15:00,11:15:00,120.0,-1.0,5.0,Y
19,UD415,,,2021-03-09,24.0,Tuesday,11:15:00,12:00:00,45.0,2.0,,Y
20,ED145,,Lunch,2021-03-09,24.0,Tuesday,12:00:00,12:15:00,15.0,,,Y
21,EL642,,,2021-03-09,24.0,Tuesday,12:15:00,14:15:00,120.0,,3.0,Y
22,X893,,Walking,2021-03-09,24.0,Tuesday,14:15:00,15:00:00,45.0,2.0,,Y
23,UD415,,,2021-03-09,24.0,Tuesday,15:00:00,17:00:00,120.0,2.0,,Y
24,CW982,,,2021-03-09,24.0,Tuesday,17:00:00,18:30:00,90.0,-1.0,2.0,N
25,ED145,,Dinner,2021-03-09,24.0,Tuesday,18:30:00,19:30:00,60.0,,,N
26,L418,,,2021-03-09,24.0,Tuesday,19:30:00,20:30:00,60.0,,,N
27,O733,,Group Call,2021-03-09,24.0,Tuesday,20:30:00,22:30:00,120.0,2.0,,N
28,UD415,,,2021-03-09,24.0,Tuesday,22:30:00,23:59:00,90.0,,,N
29,S801,,,2021-03-10,24.0,Wednesday,00:00:00,10:30:00,630.0,,,Y
30,CW982,,,2021-03-10,24.0,Wednesday,10:30:00,12:00:00,90.0,,3.0,Y
31,ED145,UD415,,2021-03-10,24.0,Wednesday,12:00:00,12:30:00,30.0,,,Y
32,X893,,Walking,2021-03-10,24.0,Wednesday,12:30:00,13:30:00,60.0,,,Y
33,UD415,,,2021-03-10,24.0,Wednesday,13:30:00,14:00:00,30.0,2.0,,Y
34,CW982,,,2021-03-10,24.0,Wednesday,14:00:00,15:30:00,90.0,-2.0,1.0,Y
35,L418,,,2021-03-10,24.0,Wednesday,15:30:00,16:30:00,60.0,,,Y
36,CW982,,,2021-03-10,24.0,Wednesday,16:30:00,17:30:00,60.0,,3.0,Y
37,UD415,,,2021-03-10,24.0,Wednesday,17:30:00,18:30:00,60.0,,,N
38,ED145,,,2021-03-10,24.0,Wednesday,18:30:00,19:30:00,60.0,,,N
39,L418,,,2021-03-10,24.0,Wednesday,19:30:00,20:30:00,60.0,2.0,,N
40,CW982,,,2021-03-10,24.0,Wednesday,20:30:00,21:45:00,75.0,-2.0,1.0,N
41,UD415,,,2021-03-10,24.0,Wednesday,21:45:00,23:30:00,104.99999999999999,1.0,,N
42,S801,,,2021-03-10,24.0,Wednesday,23:30:00,23:59:00,30.0,,,N
