PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,EngagementScore,PerformedOutside?
CW982,UD415,,01/03/21,23,Monday,00:00,02:30,150,-1,7,False
S801,,,01/03/21,23,Monday,02:30,13:30,660,2,5,False
ED145,,,01/03/21,23,Monday,13:30,14:00,30,1,5,False
T695,,Going to the pharmacy,01/03/21,23,Monday,14:00,15:00,60,0,5,True
CW982,UD415,,01/03/21,23,Monday,15:00,18:30,210,-1,7,False
ED145,H179,,01/03/21,23,Monday,18:30,19:15,45,1,5,False
CW982,UD415,,01/03/21,23,Monday,19:15,23:00,225,-2,8,False
ED145,,,01/03/21,23,Monday,23:00,23:15,15,1,4,False
CW982,UD415,,01/03/21,23,Monday,23:15,23:45,30,-2,7,False
X893,UD415,,01/03/21,23,Monday,23:45,00:00,15,0,5,False
CW982,UD415,,02/03/21,23,Tuesday,00:00,02:45,165,-2,8,False
S801,,,02/03/21,23,Tuesday,02:45,13:15,630,2,5,False
ED145,,,02/03/21,23,Tuesday,13:15,13:30,15,1,5,False
CW982,UD415,,02/03/21,23,Tuesday,13:30,16:15,165,-2,7,False
ED145,,,02/03/21,23,Tuesday,16:15,16:30,15,2,2,False
H179,,Cleaning,02/03/21,23,Tuesday,16:30,16:45,15,0,7,False
CW982,UD415,,02/03/21,23,Tuesday,16:45,20:00,195,-1,7,False
ED145,,,02/03/21,23,Tuesday,20:00,20:45,45,1,5,False
CW982,UD415,,02/03/21,23,Tuesday,20:45,23:15,150,0,8,False
X893,UD415,,02/03/21,23,Tuesday,23:15,23:30,15,0,6,False
CW982,UD415,,02/03/21,23,Tuesday,23:30,00:00,30,-1,8,False
CW982,UD415,,03/03/21,23,Wednesday,00:00,00:45,45,-1,8,False
L418,UD415,Watching tv,03/03/21,23,Wednesday,00:45,01:30,45,2,2,False
CW982,UD415,,03/03/21,23,Wednesday,01:30,02:30,60,-1,8,False
S801,,,03/03/21,23,Wednesday,02:30,13:45,675,1,5,False
ED145,,,03/03/21,23,Wednesday,13:45,14:00,15,1,5,False
CW982,UD415,,03/03/21,23,Wednesday,14:00,17:15,195,-2,7,False
ED145,,,03/03/21,23,Wednesday,17:15,18:00,45,2,5,False
H179,,,03/03/21,23,Wednesday,18:00,18:15,15,-1,6,False
CW982,UD415,,03/03/21,23,Wednesday,18:15,22:15,240,-1,8,False
X893,,,03/03/21,23,Wednesday,22:15,22:30,15,0,6,False
CW982,UD415,,03/03/21,23,Wednesday,22:30,23:45,75,-2,8,False
UD415,,,03/03/21,23,Wednesday,23:45,00:00,15,1,2,False
