PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Sleepquality,Stress level
S801,,,08/03/2021,24,Monday,00:00,07:30,450,0.0,0.0,0.0
CW982,,,08/03/2021,24,Monday,08:30,09:00,29,0.0,,-1.0
X893,,Run,08/03/2021,24,Monday,09:29,10:30,60,0.0,,0.0
ED145,,,08/03/2021,24,Monday,10:30,10:45,15,1.0,,0.0
EL162,,RP tutor meeting,08/03/2021,24,Monday,10:59,11:30,30,0.0,,0.0
CW982,,ML2,08/03/2021,24,Monday,11:30,13:30,119,0.0,,0.0
ED145,,,08/03/2021,24,Monday,13:30,13:59,29,1.0,,1.0
CW982,,ML2,08/03/2021,24,Monday,13:59,18:15,255,0.0,,0.0
ED145,,,08/03/2021,24,Monday,18:15,19:30,74,1.0,,1.0
CW982,,ML2,08/03/2021,24,Monday,19:45,22:00,135,0.0,,0.0
L418,,,08/03/2021,24,Monday,22:00,23:30,90,1.0,,0.0
S801,,,08/03/2021,24,Monday,23:30,08:30,540,0.0,1.0,0.0
ED145,,,09/03/2021,24,Tuesday,09:00,09:15,15,1.0,,1.0
CW982,,RL/ML2,09/03/2021,24,Tuesday,09:15,13:00,225,0.0,,1.0
ED145,,,09/03/2021,24,Tuesday,13:00,13:59,59,1.0,,0.0
CW982,,ML2,09/03/2021,24,Tuesday,13:59,17:30,210,0.0,,0.0
X893,,,09/03/2021,24,Tuesday,17:30,18:15,45,1.0,,1.0
ED145,,,09/03/2021,24,Tuesday,18:15,19:30,74,1.0,,0.0
CW982,,,09/03/2021,24,Tuesday,19:30,23:44,254,0.0,,0.0
S801,,,10/03/2021,24,Wednesday,00:15,07:59,464,0.0,0.0,0.0
ED145,,,10/03/2021,24,Wednesday,08:44,09:15,30,1.0,,0.0
CW982,,ML2,10/03/2021,24,Wednesday,09:15,13:30,254,0.0,,0.0
ED145,,,10/03/2021,24,Wednesday,13:30,14:30,60,1.0,,0.0
CW982,,ML2/BML,10/03/2021,24,Wednesday,14:30,18:29,239,0.0,,0.0
ED145,,,10/03/2021,24,Wednesday,18:29,19:30,60,1.0,,1.0
CW982,,ML2/BML,10/03/2021,24,Wednesday,19:30,22:30,180,0.0,,0.0
S801,,,10/03/2021,24,Wednesday,23:30,07:59,509,0.0,0.0,0.0
