PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,HelpfulResourceType,ShortResourceDescription
S801,,,08/03/21,24,Monday,00:00,07:00,420,1, , 
ED145,UD415,Breakfast and watching TV.,08/03/21,24,Monday,07:00,08:30,90,0, , 
EL642,UD415,Coursework.,08/03/21,24,Monday,08:30,12:30,240,0,Website,Medium.
ED145,,Lunch.,08/03/21,24,Monday,12:30,13:15,45,-1, , 
EL642,UD415,Coursework.,08/03/21,24,Monday,13:15,17:00,225,,Website,w3schools
X893,,Run.,08/03/21,24,Monday,17:00,18:30,90,, , 
ED145,,Dinner.,08/03/21,24,Monday,18:30,18:45,15,, , 
R523,,Reading a book.,08/03/21,24,Monday,18:45,19:45,60,, , 
L418,UD415,On TikTok and watching TV.,08/03/21,24,Monday,19:45,22:00,135,, , 
S801,,,08/03/21,24,Monday,22:00,00:00,120,, , 
S801,,,09/03/21,24,Tuesday,00:00,07:30,450,0, , 
ED145,UD415,Breakfast and watching TV.,09/03/21,24,Tuesday,07:30,08:30,60,-1, , 
EL642,UD415,Coursework.,09/03/21,24,Tuesday,08:30,12:30,240,-1,Website,YouTube
ED145,,Lunch.,09/03/21,24,Tuesday,12:30,13:00,30,1, , 
EL642,O733,Coursework.,09/03/21,24,Tuesday,13:00,18:00,300,,Book,Sutton & Barto: RL
ED145,,Dinner.,09/03/21,24,Tuesday,18:00,18:30,30,, , 
L418,UD415,On TikTok and watching TV.,09/03/21,24,Tuesday,18:30,20:00,90,, , 
L418,UD415,On TikTok and watching TV.,09/03/21,24,Tuesday,20:00,22:00,120,, , 
S801,,,09/03/21,24,Tuesday,22:00,00:00,120,, , 
S801,,,10/03/21,24,Wednesday,00:00,07:30,450,-2, , 
ED145,,Breakfast and watching TV.,10/03/21,24,Wednesday,07:30,08:30,60,-1, , 
EL642,UD415,Coursework.,10/03/21,24,Wednesday,08:30,12:30,240,1,Website,GitHub
ED145,,Lunch.,10/03/21,24,Wednesday,12:30,13:00,30,0, , 
EL642,UD415,Coursework.,10/03/21,24,Wednesday,13:00,18:00,300,,Website,https://www.gov.uk/
ED145,,Dinner.,10/03/21,24,Wednesday,18:00,19:00,60,, , 
L418,O733,On TikTok and watching TV.,10/03/21,24,Wednesday,19:00,22:15,195,, , 
S801,,,10/03/21,24,Wednesday,22:15,00:00,105,, , 
