PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,ProductivityScore,MinsSinceFood
S801,,,06/03/2021,23,Sat,23:30:00,23:45:00,15,2,0,0
L418,R523,,06/03/2021,23,Sat,23:00:00,23:30:00,30,1,0,45
CW982,,,06/03/2021,23,Sat,20:00:00,23:00:00,180,0,2,15
UD415,,,06/03/2021,23,Sat,18:45:00,20:00:00,75,,0,15
ED145,,,06/03/2021,23,Sat,18:15:00,18:45:00,30,,0,0
UD415,,,06/03/2021,23,Sat,18:00:00,18:15:00,15,,0,0
X893,,,06/03/2021,23,Sat,17:00:00,18:00:00,60,1,0,45
CW982,,,06/03/2021,23,Sat,13:15:00,17:00:00,225,0,1,45
ED145,,,06/03/2021,23,Sat,12:45:00,13:15:00,30,2,0,0
X893,,,06/03/2021,23,Sat,10:30:00,12:45:00,135,2,0,15
ED145,,,06/03/2021,23,Sat,10:15:00,10:30:00,15,0,0,0
O733,,,06/03/2021,23,Sat,10:00:00,10:15:00,15,,0,
R523,,,06/03/2021,23,Sat,08:30:00,10:00:00,90,2,1,
S801,,,06/03/2021,23,Sat,00:00:00,08:30:00,510,2,0,
S801,,,05/03/2021,23,Fri,23:30:00,23:45:00,15,,0,45
CW982,,,05/03/2021,23,Fri,21:30:00,23:30:00,120,2,5,30
L418,,,05/03/2021,23,Fri,19:00:00,21:30:00,150,2,1,30
ED145,,,05/03/2021,23,Fri,18:30:00,19:00:00,30,1,0,0
X893,,,05/03/2021,23,Fri,17:45:00,18:30:00,45,1,0,0
CW982,,,05/03/2021,23,Fri,14:15:00,17:45:00,210,-2,1,15
EL642,,,05/03/2021,23,Fri,13:15:00,14:15:00,60,0,2,45
H179,,,05/03/2021,23,Fri,12:30:00,13:15:00,45,-2,4,45
ED145,,,05/03/2021,23,Fri,12:15:00,12:30:00,15,,0,0
EL642,,,05/03/2021,23,Fri,10:15:00,12:15:00,120,1,5,0
UD415,O733,,05/03/2021,23,Fri,09:15:00,10:15:00,60,1,1,0
ED145,,,05/03/2021,23,Fri,08:30:00,09:15:00,45,1,1,0
O733,,,05/03/2021,23,Fri,08:15:00,08:30:00,15,0,2,
UD415,R523,,05/03/2021,23,Fri,06:45:00,08:15:00,90,2,1,
S801,,,05/03/2021,23,Fri,00:00:00,06:45:00,405,2,0,
S801,,,04/03/2021,23,Thu,22:45:00,23:45:00,60,2,0,45
CW982,,,04/03/2021,23,Thu,20:30:00,22:45:00,135,1,5,45
UD415,L418,,04/03/2021,23,Thu,19:15:00,20:30:00,75,2,1,30
ED145,,,04/03/2021,23,Thu,18:45:00,19:15:00,30,2,0,15
L418,,,04/03/2021,23,Thu,18:30:00,18:45:00,15,1,0,15
X893,,,04/03/2021,23,Thu,17:15:00,18:30:00,75,,0,0
EL642,,,04/03/2021,23,Thu,15:15:00,17:15:00,120,0,2,45
O733,,,04/03/2021,23,Thu,14:00:00,15:15:00,75,,1,45
ED145,L418,lunch,04/03/2021,23,Thu,13:15:00,14:00:00,45,1,0,30
CW982,,,04/03/2021,23,Thu,12:15:00,13:15:00,60,-1,1,15
EL642,,,04/03/2021,23,Thu,11:15:00,12:15:00,60,1,3,15
L418,,,04/03/2021,23,Thu,11:00:00,11:15:00,15,2,1,15
CW982,,ADS,04/03/2021,23,Thu,09:00:00,11:00:00,120,-2,2,0
ED145,,breakfast,04/03/2021,23,Thu,08:30:00,09:00:00,30,-1,0,0
O733,,,04/03/2021,23,Thu,08:00:00,08:30:00,30,0,0,
R523,UD415,,04/03/2021,23,Thu,06:45:00,08:00:00,75,1,1,
S801,,,04/03/2021,23,Thu,00:00:00,06:45:00,405,2,0,
