PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,ProducitivityScore,TypeOfExcercise
S801,,,03/03/21,23,Wednesday,00:00,09:15,555.0,1.0,,
O733,,Get Dressed And Ready,03/03/21,23,Wednesday,09:15,09:30,15.0,0.0,,
ED145,ED145,Brekky,03/03/21,23,Wednesday,09:30,10:30,60.0,0.0,,
CW982,CW982,ML,03/03/21,23,Wednesday,10:30,14:30,240.0,0.0,2.0,
 X893, X893,Walk,03/03/21,23,Wednesday,14:30,15:30,60.0,1.0,,walk
UD415,,Watching Youtube,03/03/21,23,Wednesday,15:30,16:00,30.0,0.0,,
PW101,,,03/03/21,23,Wednesday,16:00,17:30,90.0,1.0,,
CW982,CW982,,03/03/21,23,Wednesday,17:30,19:30,120.0,2.0,5.0,
PW101,PW101,,03/03/21,23,Wednesday,19:30,20:30,60.0,0.0,,
ED145,ED145,Eating Dinner,03/03/21,23,Wednesday,20:30,21:00,30.0,1.0,,
UD415,UD415,Watching TV,03/03/21,23,Wednesday,21:00,22:00,60.0,1.0,,
CW982,,,03/03/21,23,Wednesday,22:00,23:15,75.0,0.0,6.0,
O733,,Shower and getting Ready for bed,03/03/21,23,Wednesday,23:15,23:45,30.0,0.0,,
UD415,,Playing Playstation,06/03/21,23,Saturday,00:00,02:00,120.0,1.0,,
O733,,Shower and getting ready for bed,06/03/21,23,Saturday,02:00,02:15,15.0,0.0,,
UD415,,Watching Show before bed,06/03/21,23,Saturday,02:15,02:45,30.0,1.0,,
S801,,,06/03/21,23,Saturday,02:45,10:15,450.0,0.0,,
O733,O733,Getting up and dressed,06/03/21,23,Saturday,10:15,10:30,15.0,1.0,,
H179,H179,Making Breakfast,06/03/21,23,Saturday,10:30,10:45,15.0,0.0,,
ED145,,Eating breakfast and drink coffee,06/03/21,23,Saturday,10:45,11:15,30.0,2.0,,
EL642,EL642,Planning Work for weekend,06/03/21,23,Saturday,11:15,12:30,75.0,0.0,6.0,
UD415,UD415,Watch Football,06/03/21,23,Saturday,12:30,14:30,120.0,-1.0,,
O733,O733,Getting ready for walk,06/03/21,23,Saturday,14:30,14:45,15.0,1.0,,
 X893,,Long Hike,06/03/21,23,Saturday,14:45,18:00,195.0,2.0,,hike
O733,,Shower,06/03/21,23,Saturday,18:00,18:30,30.0,2.0,,
H179,,Cooking,06/03/21,23,Saturday,18:30,19:30,60.0,0.0,,
CW982,CW982,ML Coursework,06/03/21,23,Saturday,19:30,21:30,120.0,-1.0,3.0,
ED145,ED145,,06/03/21,23,Saturday,21:30,22:00,30.0,1.0,,
UD415,,Film,06/03/21,23,Saturday,22:00,23:30,90.0,1.0,,
O733,,Getting Ready for bed,06/03/21,23,Saturday,23:30,23:45,15.0,0.0,,
UD415,,Watching Shows before bed,07/03/21,23,Sunday,00:00,01:30,90.0,1.0,,
S801,,,07/03/21,23,Sunday,01:30,10:00,510.0,0.0,,
O733,,Getting Ready for the day,07/03/21,23,Sunday,10:00,10:15,15.0,1.0,,
EL642,,Plan the Day ahead,07/03/21,23,Sunday,10:15,10:30,15.0,0.0,4.0,
CW982,CW982,,07/03/21,23,Sunday,10:30,12:00,90.0,1.0,3.0,
 X893, X893,,07/03/21,23,Sunday,12:00,13:30,90.0,2.0,,jog
H179,,Make food,07/03/21,23,Sunday,13:30,13:45,15.0,0.0,,
R523,R523,Read Emails and Papers,07/03/21,23,Sunday,13:45,14:15,30.0,1.0,6.0,
ED145,ED145,breakfast/lunch,07/03/21,23,Sunday,14:15,14:45,30.0,1.0,,
CW982,CW982,ADS,07/03/21,23,Sunday,14:45,17:00,135.0,-2.0,5.0,
O733,O733,Interview Preparation,07/03/21,23,Sunday,17:00,18:00,60.0,0.0,7.0,
H179,,Cleaning,07/03/21,23,Sunday,18:00,18:30,30.0,-2.0,8.0,
H179,,Cooking,07/03/21,23,Sunday,18:30,19:30,60.0,0.0,,
ED145,ED145,Dinner,07/03/21,23,Sunday,19:30,20:00,30.0,1.0,,
L418,L418,Chilling,07/03/21,23,Sunday,20:00,21:00,60.0,1.0,,
CW982,CW982,Study Sesh,07/03/21,23,Sunday,21:00,23:30,150.0,1.0,6.0,
O733,,Getting Ready for bed,07/03/21,23,Sunday,23:30,23:45,15.0,0.0,,
