PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,TimeOfFirstStop,EfficiencyDegree
S801,,sleep,2020-03-07,23,Sunday,01:15:00,08:30:00,435.0,2,,
ED145,,eating breakfast,2020-03-07,23,Sunday,08:45:00,09:00:00,15.0,1,,
T695,,travelling to shop,2020-03-07,23,Sunday,09:15:00,10:45:00,90.0,0,,
R523,UD415,reading a book online,2020-03-07,23,Sunday,10:45:00,12:15:00,90.0,2,11:30:00,4.0
ED145,H179,preparing for and eating lunch,2020-03-07,23,Sunday,12:15:00,13:00:00,45.0,1,,
S801,,taking a nap,2020-03-07,23,Sunday,13:15:00,14:30:00,75.0,2,,
CW982,UD415,doing coursework,2020-03-07,23,Sunday,14:45:00,16:45:00,120.0,-1,15:15:00,3.0
L418,UD415,using moblie,2020-03-07,23,Sunday,16:45:00,18:00:00,75.0,2,,
ED145,H179,preparing for and eating dinner,2020-03-07,23,Sunday,18:00:00,19:30:00,90.0,1,,
R523,UD415,reading a book online,2020-03-07,23,Sunday,19:45:00,20:30:00,45.0,1,20:30:00,4.0
L418,UD415,playing switch game,2020-03-07,23,Sunday,20:30:00,21:45:00,75.0,2,21:45:00,5.0
O733,,preparing for sleep,2020-03-07,23,Sunday,21:45:00,22:15:00,30.0,0,,
L418,UD415,watching videos,2020-03-07,23,Sunday,22:30:00,23:45:00,75.0,1,,
UD415,,chatting with family,2020-03-07,23,Sunday,23:45:00,00:15:00,30.0,1,,
S801,,sleep,2020-03-08,24,Monday,00:15:00,08:15:00,480.0,2,,
ED145,,eating breakfast,2020-03-08,24,Monday,08:30:00,08:45:00,15.0,1,,
X893,,exercise,2020-03-08,24,Monday,09:00:00,09:30:00,30.0,1,,
CW982,UD415,coursework,2020-03-08,24,Monday,09:45:00,12:15:00,150.0,-1,10:15:00,3.0
ED145,H179,perparing for and eating lunch,2020-03-08,24,Monday,12:15:00,13:00:00,45.0,1,,
S801,,taking a nap,2020-03-08,24,Monday,13:00:00,14:00:00,60.0,1,,
EL642,UD415,lectures,2020-03-08,24,Monday,14:15:00,15:00:00,45.0,0,15:00:00,3.0
CW982,UD415,coursework,2020-03-08,24,Monday,15:15:00,16:45:00,90.0,0,16:00:00,3.0
L418,UD415,using moblie,2020-03-08,24,Monday,16:45:00,17:30:00,45.0,2,,
ED145,H179,preparing for and eating dinner,2020-03-08,24,Monday,17:45:00,19:00:00,75.0,1,,
R523,UD415,reading a book online,2020-03-08,24,Monday,19:00:00,20:45:00,105.0,2,20:00:00,5.0
L418,UD415,playing switch game,2020-03-08,24,Monday,21:00:00,22:15:00,75.0,1,22:15:00,4.0
O733,,preparing for sleep,2020-03-08,24,Monday,22:15:00,22:30:00,15.0,0,,
L418,UD415,watching videos,2020-03-08,24,Monday,22:30:00,23:45:00,75.0,1,,
UD415,,chatting with family,2020-03-08,24,Monday,23:45:00,00:15:00,30.0,1,,
S801,,sleep,2020-03-09,24,Tuesday,00:15:00,08:30:00,495.0,2,,
ED145,,eating breakfast,2020-03-09,24,Tuesday,08:45:00,09:00:00,15.0,1,,
X893,,exercise,2020-03-09,24,Tuesday,09:15:00,10:00:00,45.0,1,,
EL642,UD415,lectures,2020-03-09,24,Tuesday,10:15:00,13:15:00,180.0,-1,11:00:00,3.0
ED145,H179,preparing for and eating lunch,2020-03-09,24,Tuesday,13:15:00,14:00:00,45.0,1,,
EL642,UD415,lectures,2020-03-09,24,Tuesday,14:15:00,15:00:00,45.0,0,15:00:00,3.0
L418,UD415,using moblie,2020-03-09,24,Tuesday,15:15:00,16:00:00,45.0,1,,
CW982,UD415,coursework,2020-03-09,24,Tuesday,16:00:00,17:15:00,75.0,1,17:15:00,4.0
R523,UD415,reading a book online,2020-03-09,24,Tuesday,17:30:00,18:30:00,60.0,2,18:30:00,5.0
ED145,H179,preparing for and eating dinner,2020-03-09,24,Tuesday,18:45:00,19:45:00,60.0,1,,
L418,UD415,playing switch game,2020-03-09,24,Tuesday,20:00:00,21:15:00,75.0,1,21:15:00,4.0
L418,UD415,using moblie,2020-03-09,24,Tuesday,21:15:00,22:15:00,60.0,1,,
O733,,preparing for sleep,2020-03-09,24,Tuesday,22:15:00,22:45:00,30.0,0,,
L418,UD415,watching videos,2020-03-09,24,Tuesday,22:45:00,23:45:00,60.0,1,,
UD415,,chatting with family,2020-03-09,24,Tuesday,23:45:00,00:15:00,30.0,1,,
