PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AnxietyLevel,DistractionLevel
S801,,,02/03/2021,23,Tuesday,00:00,08:30,510.0,1,0,2
ED145,ED145,Drinking milk,02/03/2021,23,Tuesday,08:45,09:15,30.0,1,1,0
EL642,,,02/03/2021,23,Tuesday,09:15,11:15,120.0,-1,-2,-1
UD415,EL642,Using phone,02/03/2021,23,Tuesday,11:15,11:45,30.0,1,0,1
EL642,,,02/03/2021,23,Tuesday,12:15,14:15,120.0,-1,-2,0
ED145,ED145,Having lunch,02/03/2021,23,Tuesday,14:15,15:15,60.0,1,0,1
S801,,,02/03/2021,23,Tuesday,15:30,17:00,90.0,1,0,2
X893,,,02/03/2021,23,Tuesday,17:00,18:00,60.0,1,0,-1
CW982,,,02/03/2021,23,Tuesday,18:00,20:00,120.0,0,-1,2
L418,,,02/03/2021,23,Tuesday,21:00,23:45,165.0,2,1,0
S801,,,03/03/2021,23,Wednesday,00:00,09:30,570.0,2,0,2
ED145,ED145,Eating cornflakes,03/03/2021,23,Wednesday,09:45,10:15,30.0,1,1,0
EL642,,,03/03/2021,23,Wednesday,10:15,14:15,240.0,1,-2,1
ED145,ED145,Having lunch,03/03/2021,23,Wednesday,15:00,16:00,60.0,1,0,0
S801,,,03/03/2021,23,Wednesday,16:00,17:00,60.0,2,0,-1
X893,X893,Yoga,03/03/2021,23,Wednesday,17:00,18:00,60.0,2,2,2
R523,,,03/03/2021,23,Wednesday,18:00,20:00,120.0,1,-1,1
L418,L418,Watching TV,03/03/2021,23,Wednesday,21:00,23:45,165.0,1,1,2
S801,,,04/03/2021,23,Thursday,00:00,08:30,510.0,2,1,2
ED145,,,04/03/2021,23,Thursday,09:00,09:30,30.0,1,-1,0
EL642,,,04/03/2021,23,Thursday,10:15,12:15,120.0,-1,-2,-1
ED145,,,04/03/2021,23,Thursday,13:00,14:00,60.0,1,0,0
EL642,,,04/03/2021,23,Thursday,14:15,16:15,120.0,-1,-1,1
S801,,,04/03/2021,23,Thursday,17:00,18:00,60.0,2,1,-1
X893,X893,Go for a walk,04/03/2021,23,Thursday,18:15,18:45,30.0,1,1,-1
CW982,,,04/03/2021,23,Thursday,19:00,21:00,120.0,1,-1,1
L418,,,04/03/2021,23,Thursday,21:00,23:45,165.0,1,0,1
