PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,pressure_score,quality_score
S801,S801,missing,03/01/2021,23,Monday,00:00:00,08:00:00,480.0,2,0,2
PW101,UD415,Propensity model,03/01/2021,23,Monday,08:15:00,11:45:00,210.0,1,2,2
X893,X893,Bodyweight,03/01/2021,23,Monday,12:00:00,12:45:00,45.0,1,1,3
PW101,UD415,Meetings,03/01/2021,23,Monday,13:00:00,15:00:00,120.0,-1,1,0
PW101,UD415,MI dashboard,03/01/2021,23,Monday,15:15:00,17:15:00,120.0,2,4,3
H179,H179,Cook dinner,03/01/2021,23,Monday,17:30:00,18:30:00,60.0,1,0,2
H179,H179,Laundry,03/01/2021,23,Monday,18:45:00,19:45:00,60.0,0,0,2
T695,T695,Train,03/01/2021,23,Monday,20:00:00,20:30:00,30.0,1,0,2
L418,L418,Meeting friends,03/01/2021,23,Monday,20:45:00,21:45:00,60.0,2,0,3
S801,S801,missing,03/01/2021,23,Monday,22:00:00,23:45:00,105.0,2,0,3
S801,S801,missing,03/02/2021,23,Tuesday,00:00:00,07:45:00,465.0,2,0,2
H179,H179,Tidy up,03/02/2021,23,Tuesday,08:00:00,08:45:00,45.0,-2,1,2
PW101,PW101,MI Dashboard,03/02/2021,23,Tuesday,09:00:00,11:45:00,165.0,2,3,3
L418,L418,TV,03/02/2021,23,Tuesday,12:00:00,12:45:00,45.0,1,0,1
PW101,PW101,MI Dashboard,03/02/2021,23,Tuesday,13:00:00,17:15:00,255.0,2,3,3
H179,H179,Food,03/02/2021,23,Tuesday,17:30:00,18:00:00,30.0,-1,1,1
EL642,EL642,ADS,03/02/2021,23,Tuesday,18:15:00,19:00:00,45.0,2,1,2
EL642,EL642,RL,03/02/2021,23,Tuesday,19:15:00,20:00:00,45.0,2,4,2
EL642,EL642,ML ,03/02/2021,23,Tuesday,20:15:00,21:00:00,45.0,-1,4,1
L418,L418,TV,03/02/2021,23,Tuesday,21:15:00,22:45:00,90.0,1,0,1
S801,S801,missing,03/02/2021,23,Tuesday,23:00:00,23:45:00,45.0,2,0,2
S801,S801,missing,02/04/2021,19,Thursday,00:00:00,08:00:00,480.0,2,0,3
PW101,UD415,MI dashboard,02/04/2021,19,Thursday,08:15:00,11:45:00,210.0,0,1,1
X893,X893,Spin class,02/04/2021,19,Thursday,12:00:00,12:45:00,45.0,1,0,0
PW101,UD415,MI dashboard,02/04/2021,19,Thursday,13:00:00,17:15:00,255.0,0,1,1
H179,H179,Cook dinner,02/04/2021,19,Thursday,17:30:00,18:30:00,60.0,2,0,0
H179,H179,Tidy up,02/04/2021,19,Thursday,18:45:00,19:45:00,60.0,-2,0,0
CW982,UD415,ADS,02/04/2021,19,Thursday,20:00:00,21:45:00,105.0,2,1,3
S801,S801,missing,02/04/2021,19,Thursday,22:00:00,23:45:00,105.0,2,0,0
