PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,MobileRequired?,NumberOfTimesDistracted
S801,,sleeping,2021-02-23,22,Tuesday,00:00:00,08:00:00,480,2,No,0
L418,,getting ready,2021-02-23,22,Tuesday,08:00:00,08:30:00,30,0,No,2
ED145,,breakfast,2021-02-23,22,Tuesday,08:30:00,09:15:00,45,1,No,1
L418,,,2021-02-23,22,Tuesday,09:15:00,10:15:00,60,1,yes,>5
EL642,UD415,lectures,2021-02-23,22,Tuesday,10:15:00,13:15:00,180,0,No,3
ED145,,lunch,2021-02-23,22,Tuesday,13:15:00,14:15:00,60,1,No,1
EL642,,,2021-02-23,22,Tuesday,14:15:00,15:15:00,60,0,No,1
L418,,games,2021-02-23,22,Tuesday,15:15:00,15:45:00,30,2,yes,1
H179,,,2021-02-23,22,Tuesday,15:45:00,16:30:00,45,0,No,2
L418,UD415,phone calls and other,2021-02-23,22,Tuesday,16:30:00,18:30:00,120,2,yes,>5
X893,,,2021-02-23,22,Tuesday,18:30:00,19:00:00,30,2,yes,1
L418,,relaxing,2021-02-23,22,Tuesday,19:00:00,19:30:00,30,1,yes,1
R523,,study,2021-02-23,22,Tuesday,19:30:00,20:30:00,60,0,No,2
CW982,,,2021-02-23,22,Tuesday,20:30:00,22:00:00,90,-1,No,3
ED145,,dinner,2021-02-23,22,Tuesday,22:00:00,23:00:00,60,1,No,1
L418,,watching movie,2021-02-23,22,Tuesday,23:00:00,00:30:00,90,2,yes,1
S801,,,2021-02-24,22,Wednesday,00:30:00,08:15:00,465,2,No,0
L418,,getting ready,2021-02-24,22,Wednesday,08:15:00,08:45:00,30,0,No,1
ED145,,breakfast,2021-02-24,22,Wednesday,08:45:00,09:30:00,45,1,No,1
L418,UD415,,2021-02-24,22,Wednesday,09:30:00,10:00:00,30,1,yes,2
R523,UD415,,2021-02-24,22,Wednesday,10:00:00,11:00:00,60,0,No,2
CW982,,,2021-02-24,22,Wednesday,11:00:00,13:15:00,135,-1,No,4
ED145,,lunch,2021-02-24,22,Wednesday,13:15:00,14:15:00,60,1,No,1
EL642,,ipt,2021-02-24,22,Wednesday,14:15:00,18:15:00,240,0,No,3
L418,UD415,,2021-02-24,22,Wednesday,18:15:00,19:00:00,45,2,yes,2
X893,,,2021-02-24,22,Wednesday,19:00:00,19:45:00,45,2,yes,2
L418,,rest,2021-02-24,22,Wednesday,19:45:00,20:15:00,30,1,yes,1
R523,,,2021-02-24,22,Wednesday,20:15:00,21:30:00,75,0,No,4
ED145,,dinner,2021-02-24,22,Wednesday,21:30:00,22:30:00,60,1,No,1
L418,UD415,watching movie,2021-02-24,22,Wednesday,22:30:00,00:00:00,90,2,yes,1
S801,,,2021-02-25,22,Thursday,00:00:00,08:15:00,495,2,No,0
L418,,getting ready,2021-02-25,22,Thursday,08:15:00,08:45:00,30,0,No,1
ED145,,breakfast,2021-02-25,22,Thursday,08:45:00,09:30:00,45,1,No,1
L418,,,2021-02-25,22,Thursday,09:30:00,10:15:00,45,1,yes,1
EL642,,,2021-02-25,22,Thursday,10:15:00,12:15:00,120,0,No,4
R523,,,2021-02-25,22,Thursday,12:15:00,13:00:00,45,0,No,2
ED145,,lunch,2021-02-25,22,Thursday,13:00:00,14:15:00,75,1,No,1
EL642,,,2021-02-25,22,Thursday,14:15:00,15:15:00,60,0,No,2
R523,,,2021-02-25,22,Thursday,15:15:00,16:30:00,75,0,No,3
L418,,,2021-02-25,22,Thursday,16:30:00,18:45:00,135,1,yes,>5
X893,,,2021-02-25,22,Thursday,18:45:00,19:30:00,45,2,yes,1
CW982,,,2021-02-25,22,Thursday,19:30:00,21:15:00,105,0,No,3
ED145,,dinner,2021-02-25,22,Thursday,21:15:00,22:30:00,75,1,No,2
L418,,movie,2021-02-25,22,Thursday,22:30:00,00:00:00,90,2,yes,1
