PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Did you take rest/study/screen break during productive hours?,"If you took break, what was the duration?"
S801,,Sleep,08/03/2021,24,Monday,00:05:00,07:20:00,435,1,No,
ED145,,Breakfast,08/03/2021,24,Monday,08:00:00,08:45:00,45,2,No,
EL642,,Lectures,08/03/2021,24,Monday,09:00:00,13:30:00,270,1,No,
ED145,,Lunch,08/03/2021,24,Monday,13:15:00,14:00:00,45,0,No,
EL642,,Lectures,08/03/2021,24,Monday,14:00:00,17:00:00,180,1,No,
ED145,L418,Having coffee/tea,08/03/2021,24,Monday,17:00:00,18:00:00,60,2,No,
X893,L418,Outdoor activity,08/03/2021,24,Monday,18:00:00,19:30:00,90,2,No,
CW982,,Coursework,08/03/2021,24,Monday,19:30:00,21:30:00,120,0,Yes,Medium (10 to 15 min)
ED145,,Dinner,08/03/2021,24,Monday,09:30:00,10:30:00,60,1,No,
L418,UD415,Speaking with friends/family,08/03/2021,24,Monday,22:30:00,23:00:00,30,2,No,
UD415,L418,Watching movies/television,08/03/2021,24,Monday,23:00:00,00:00:00,60,-1,No,
S801,,Sleep,09/03/2021,24,Tuesday,00:00:00,07:30:00,450,1,No,
ED145,,Breakfast,09/03/2021,24,Tuesday,08:00:00,09:00:00,60,2,No,
EL642,,Lectures,09/03/2021,24,Tuesday,09:15:00,12:15:00,180,1,Yes,Very short (<5min)
L418,,Leisure,09/03/2021,24,Tuesday,12:15:00,13:00:00,45,0,No,
ED145,,Lunch,09/03/2021,24,Tuesday,13:00:00,14:00:00,60,-1,No,
CW982,,Coursework,09/03/2021,24,Tuesday,14:00:00,15:15:00,75,1,Yes,Short (5 to 10 min)
ED145,L418,Having coffee/tea,09/03/2021,24,Tuesday,15:15:00,15:45:00,30,-2,No,
X893,,Exercise,09/03/2021,24,Tuesday,15:45:00,17:00:00,75,1,No,
R523,,Reading,09/03/2021,24,Tuesday,05:00:00,06:00:00,60,0,No,
CW982,,Coursework,09/03/2021,24,Tuesday,18:00:00,20:45:00,165,-2,No,
ED145,,Dinner,09/03/2021,24,Tuesday,08:45:00,10:00:00,75,0,No,
UD415,L418,Browsing web on laptop,09/03/2021,24,Tuesday,22:00:00,23:00:00,60,-2,No,
S801,,Sleep,09/03/2021,24,Tuesday,23:00:00,00:00:00,60,1,No,
S801,,Sleep,10/03/2021,24,Wednesday,00:00:00,06:15:00,375,1,No,
X893,,Exercise,10/03/2021,24,Wednesday,07:00:00,08:00:00,60,2,No,
ED145,,Breakfast,10/03/2021,24,Wednesday,08:01:00,08:46:00,45,2,No,
ED145,L418,Having coffee/tea,10/03/2021,24,Wednesday,20:45:00,21:00:00,15,1,No,
R523,,Reading text books,10/03/2021,24,Wednesday,09:00:00,10:15:00,75,0,No,
EL642,,Lectures,10/03/2021,24,Wednesday,10:15:00,12:30:00,135,1,Yes,Very short (<5min)
L418,UD415,Speaking with friends/family,10/03/2021,24,Wednesday,12:30:00,13:00:00,30,2,No,
ED145,,Lunch,10/03/2021,24,Wednesday,13:00:00,14:00:00,60,0,No,
UD415,L418,Browsing web on laptop,10/03/2021,24,Wednesday,14:00:00,14:15:00,15,-1,No,
EL642,,Lectures,10/03/2021,24,Wednesday,14:15:00,15:15:00,60,1,No,
H179,,Housework,10/03/2021,24,Wednesday,15:15:00,16:00:00,45,-2,No,
H179,O733,Buying groceries,10/03/2021,24,Wednesday,16:00:00,17:30:00,90,-1,No,
H179,O733,Doing Laundry,10/03/2021,24,Wednesday,17:30:00,18:30:00,60,0,No,
CW982,,Coursework,10/03/2021,24,Wednesday,18:30:00,20:30:00,120,0,Yes,Medium (10 to 15 min)
H179,L418,Cooking,10/03/2021,24,Wednesday,20:30:00,21:30:00,60,2,No,
ED145,,Dinner,10/03/2021,24,Wednesday,21:30:00,22:30:00,60,2,No,
UD415,L418,Watching movies/television,10/03/2021,24,Wednesday,22:30:00,23:30:00,60,1,No,
S801,,Sleep,10/03/2021,24,Wednesday,23:30:00,00:00:00,30,2,No,
S801,,Sleep,11/03/2021,24,Thursday,00:00:00,06:30:00,390,2,No,
X893,L418,Outdoor activity,11/03/2021,24,Thursday,07:30:00,08:30:00,60,2,No,
ED145,,Breakfast,11/03/2021,24,Thursday,08:30:00,09:15:00,45,2,No,
