PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Outside,Stressed
ED145,,breakfast,25/02/2021,22,Thursday,07:45:00,08:00:00,15,,No,No
O733,,shopping,25/02/2021,22,Thursday,08:15:00,08:45:00,30,1,No,No
R523,UD415,,25/02/2021,22,Thursday,09:00:00,09:30:00,30,1,No,No
CW892,EL642,,25/02/2021,22,Thursday,09:30:00,12:00:00,150,,No,Yes
ED145,,Lunch,25/02/2021,22,Thursday,12:00:00,12:30:00,30,,No,No
UD415,,,25/02/2021,22,Thursday,12:30:00,13:00:00,30,,No,No
R523,UD415,,25/02/2021,22,Thursday,13:00:00,13:30:00,30,,No,No
CW892,UD415,,25/02/2021,22,Thursday,13:30:00,16:15:00,165,-1,No,Yes
EL642,UD415,,25/02/2021,22,Thursday,16:15:00,18:00:00,105,-1,No,No
ED145,,cooking,25/02/2021,22,Thursday,18:00:00,19:15:00,75,,No,No
L418,UD415,netflix,25/02/2021,22,Thursday,20:00:00,21:30:00,90,0,No,No
L418,UD415,personal project,25/02/2021,22,Thursday,22:00:00,22:45:00,45,1,No,No
L418,,Meditation,25/02/2021,22,Thursday,23:15:00,23:30:00,15,1,No,No
R523,UD415,,25/02/2021,22,Thursday,23:30:00,00:00:00,30,1,No,No
S801,,,26/02/2021,22,Friday,00:00:00,08:00:00,480,,No,No
X893,,,26/02/2021,22,Friday,08:15:00,08:45:00,30,1,No,No
ED145,,Breakfast,26/02/2021,22,Friday,08:45:00,09:00:00,15,,No,No
R523,UD415,,26/02/2021,22,Friday,09:15:00,09:30:00,15,0,No,No
CW892,UD415,reinforcement learning,26/02/2021,22,Friday,09:30:00,12:00:00,150,1,No,No
ED145,,Lunch,26/02/2021,22,Friday,12:15:00,12:45:00,30,,No,No
UD415,,texting,26/02/2021,22,Friday,12:45:00,13:15:00,30,,No,No
R523,UD415,,26/02/2021,22,Friday,13:15:00,13:30:00,15,,No,No
CW892,UD415,,26/02/2021,22,Friday,13:30:00,16:30:00,180,,No,No
EL642,UD415,,26/02/2021,22,Friday,16:30:00,17:00:00,30,,No,No
L418,X893,walk,26/02/2021,22,Friday,17:00:00,18:30:00,90,1,Yes,No
ED145,,dinner,26/02/2021,22,Friday,18:30:00,19:45:00,75,,No,No
L418,UD415,personal project,26/02/2021,22,Friday,20:00:00,21:30:00,90,,No,Yes
L418,EL642,,26/02/2021,22,Friday,22:15:00,22:45:00,30,,No,No
R523,UD415,,27/02/2021,22,Saturday,00:00:00,00:30:00,30,-1,No,No
S801,,,27/02/2021,22,Saturday,00:30:00,08:30:00,480,,No,No
O733,O733,Shopping,27/02/2021,22,Saturday,08:45:00,09:15:00,30,,No,No
ED145,,,27/02/2021,22,Saturday,09:30:00,09:45:00,15,,No,No
L418,UD415,,27/02/2021,22,Saturday,09:45:00,11:00:00,75,1,No,No
X893,,run,27/02/2021,22,Saturday,11:00:00,11:40:00,40,,Yes,No
UD415,,texting,27/02/2021,22,Saturday,12:30:00,12:45:00,15,,No,No
ED145,,lunch,27/02/2021,22,Saturday,12:45:00,13:15:00,30,,No,No
L418,UD415,watching football,27/02/2021,22,Saturday,13:30:00,14:15:00,45,0,No,No
CW892,UD415,,27/02/2021,22,Saturday,14:30:00,17:00:00,150,,No,No
L418,ED145,meal prep,27/02/2021,22,Saturday,17:15:00,18:00:00,45,,No,No
R523,UD415,,27/02/2021,22,Saturday,18:15:00,18:45:00,30,,No,No
ED145,,,27/02/2021,22,Saturday,18:45:00,19:15:00,30,,No,No
L418,ED145,house drinks,27/02/2021,22,Saturday,19:15:00,23:15:00,240,1,No,No
