PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayofWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Snack,Healthiness
R523,ED145,,09/03/2020,28,Monday,00:00:00,01:15:00,75,,cereal,4.0
S801,,,09/03/2020,28,Monday,01:30:00,09:00:00,450,,,
EL642,ED145,,09/03/2020,28,Monday,09:15:00,10:15:00,60,,,3.0
EL642,UD415,,09/03/2020,28,Monday,10:15:00,11:15:00,60,,,
H179,,Cleaning ,09/03/2020,28,Monday,11:15:00,11:30:00,15,,,
EL642,UD415,,09/03/2020,28,Monday,12:15:00,13:15:00,60,,,
EL642,ED145,,09/03/2020,28,Monday,13:15:00,14:15:00,60,,Sandwich ,2.0
H179,,cooking,09/03/2020,28,Monday,14:20:00,14:40:00,20,0.0,,
ED145,UD415,,09/03/2020,28,Monday,14:40:00,14:55:00,15,1.0,,4.0
L418,UD415,,09/03/2020,28,Monday,15:15:00,17:00:00,105,2.0,,
X893,,Running ,09/03/2020,28,Monday,17:15:00,18:15:00,60,1.0,,
O733,,,09/03/2020,28,Monday,18:15:00,18:40:00,25,,,
O733,,,09/03/2020,28,Monday,18:50:00,20:00:00,70,,,
H179,,cooking,09/03/2020,28,Monday,20:10:00,20:40:00,30,0.0,,
ED145,,,09/03/2020,28,Monday,20:40:00,21:00:00,20,,,1.0
H179,,,09/03/2020,28,Monday,21:05:00,21:20:00,15,,,
CW982,UD415,,09/03/2020,28,Monday,21:30:00,22:15:00,45,,,
R523,,Novel,09/03/2020,28,Monday,22:30:00,00:30:00,120,2.0,,
S801,,,10/03/2020,27,Tuesday,00:30:00,09:00:00,510,,,
H179,,Cooking,10/03/2020,27,Tuesday,09:30:00,09:55:00,25,,,
ED145,UD415,Breakfast,10/03/2020,27,Tuesday,09:55:00,10:10:00,15,1.0,,4.0
EL642,UD415,,10/03/2020,27,Tuesday,10:15:00,11:15:00,60,,,
EL642,ED145,,10/03/2020,27,Tuesday,11:15:00,13:15:00,120,,Fruits,5.0
CW982,,,10/03/2020,27,Tuesday,13:20:00,14:20:00,60,-1.0,,
O733,,,10/03/2020,27,Tuesday,14:20:00,15:30:00,70,,,
T695,,Grocery Store,10/03/2020,27,Tuesday,15:40:00,16:05:00,25,,,
H179,,Shopping,10/03/2020,27,Tuesday,16:05:00,16:40:00,35,,,
T695,,,10/03/2020,27,Tuesday,16:40:00,17:05:00,25,-2.0,,
H179,,,10/03/2020,27,Tuesday,17:05:00,17:30:00,25,,,
O733,,,10/03/2020,27,Tuesday,17:30:00,17:45:00,15,,,
L418,UD415,,10/03/2020,27,Tuesday,17:50:00,19:00:00,70,,Crisps,1.0
CW982,,,10/03/2020,27,Tuesday,19:10:00,20:15:00,65,,Bakery,1.0
H179,,Cooking,10/03/2020,27,Tuesday,20:20:00,20:50:00,30,0.0,,
ED145,,,10/03/2020,27,Tuesday,20:50:00,21:05:00,15,,,3.0
H179,,Cleaning,10/03/2020,27,Tuesday,21:10:00,21:30:00,20,-1.0,,
O733,,,10/03/2020,27,Tuesday,21:30:00,22:30:00,60,2.0,,
CW982,UD415,,10/03/2020,27,Tuesday,22:30:00,11:30:00,780,,,
R523,ED145,Novel,10/03/2020,27,Tuesday,11:40:00,01:10:00,810,2.0,Sweets,1.0
S801,,,11/03/2020,27,Wednesday,01:15:00,10:15:00,540,,,
O733,,,11/03/2020,27,Wednesday,10:15:00,10:40:00,25,,,
H179,,Cooking,11/03/2020,27,Wednesday,10:40:00,11:00:00,20,,,
ED145,,Breakfast,11/03/2020,27,Wednesday,11:00:00,11:15:00,15,1.0,,3.0
EL642,UD415,,11/03/2020,27,Wednesday,11:15:00,12:15:00,60,,,
CW982,,,11/03/2020,27,Wednesday,12:30:00,14:40:00,130,,,
H179,,Cleaning,11/03/2020,27,Wednesday,14:40:00,15:00:00,20,,,
EL642,ED145,,11/03/2020,27,Wednesday,15:15:00,16:15:00,60,,,2.0
EL642,UD415,,11/03/2020,27,Wednesday,16:15:00,17:15:00,60,,,
X893,,,11/03/2020,27,Wednesday,17:30:00,18:30:00,60,1.0,,
O733,,,11/03/2020,27,Wednesday,18:30:00,19:00:00,30,,,
L418,UD415,,11/03/2020,27,Wednesday,19:03:00,20:15:00,72,,,
H179,,Cooking,11/03/2020,27,Wednesday,20:20:00,20:50:00,30,0.0,,
ED145,,,11/03/2020,27,Wednesday,20:50:00,21:10:00,20,,,5.0
O733,ED145,,11/03/2020,27,Wednesday,21:20:00,23:00:00,100,2.0,,1.0
H179,,,11/03/2020,27,Wednesday,23:10:00,23:30:00,20,,,
L418,ED145,,11/03/2020,27,Wednesday,23:40:00,01:10:00,90,2.0,Sweets,1.0
