PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,SleepinessScore,SocialMediaMinutes
S801,,,28/02/21,22,Sunday,23:30,07:00,450,,,0
ED145,,Had breakfast,28/02/21,22,Sunday,07:00,07:30,30,1,0,3
H179,,,28/02/21,22,Sunday,07:30,08:30,60,,-1,0
T695,R523,Read books while travelling,28/02/21,22,Sunday,08:30,11:00,150,-1,0,5
L418,UD415,At coffee shop,28/02/21,22,Sunday,11:00,12:00,60,1,-1,0
ED145,,Had lunch,28/02/21,22,Sunday,12:00,13:00,60,2,-1,0
CW982,UD415,,28/02/21,22,Sunday,13:00,17:00,240,-1,1,5
X893,,,28/02/21,22,Sunday,17:00,18:30,90,1,0,0
ED145,,Had dinner,28/02/21,22,Sunday,18:30,19:30,60,,-1,0
T695,UD415,,28/02/21,22,Sunday,19:15,21:30,135,-2,1,11
H179,,,28/02/21,22,Sunday,21:30,22:00,30,,0,0
CW982,UD415,,28/02/21,22,Sunday,22:00,23:30,90,,0,0
S801,,,01/03/21,23,Monday,23:30,07:30,480,,,0
ED145,,,01/03/21,23,Monday,07:30,08:00,30,,0,10
EL642,UD415,Panopto lectures,01/03/21,23,Monday,08:30,12:00,210,-1,-1,5
ED145,,,01/03/21,23,Monday,12:00,13:00,60,1,-1,2
CW982,UD415,CM50265 CW1,01/03/21,23,Monday,13:00,15:30,150,-2,0,0
S801,,Short nap,01/03/21,23,Monday,15:30,16:00,30,,,0
CW982,UD415,,01/03/21,23,Monday,16:00,18:00,120,-2,-1,0
ED145,,,01/03/21,23,Monday,18:00,18:30,30,,-1,3
L418,,,01/03/21,23,Monday,18:30,19:00,30,,-1,0
EL642,UD415,CM50265 CW1,01/03/21,23,Monday,19:00,22:30,210,,0,0
H179,,,01/03/21,23,Monday,22:30,23:00,30,,1,2
S801,,,02/03/21,23,Tuesday,23:30,07:00,450,,,0
ED145,,,02/03/21,23,Tuesday,07:30,08:00,30,0,0,5
CW982,UD415,,02/03/21,23,Tuesday,08:30,12:00,210,-1,-1,10
ED145,,,02/03/21,23,Tuesday,12:00,13:00,60,1,-1,0
CW982,UD415,,02/03/21,23,Tuesday,13:00,18:00,300,-2,0,20
ED145,,,02/03/21,23,Tuesday,18:30,19:00,30,0,-1,0
UD415,,,02/03/21,23,Tuesday,19:00,20:00,60,2,-1,30
EL642,UD415,,02/03/21,23,Tuesday,20:00,23:00,180,0,0,0
