PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Distraction,Performance
S801,,,08/03/2021,24,Monday,00:00,10:15,615,1,0,4
ED145,,Breakfast,08/03/2021,24,Monday,10:30,11:00,30,0,1,
EL642,,,08/03/2021,24,Monday,11:15,13:45,150,-1,4,5
ED145,,Lunch,08/03/2021,24,Monday,14:00,14:45,45,,,
CW982,,,08/03/2021,24,Monday,15:00,18:00,180,0,3,7
X893,,Running,08/03/2021,24,Monday,18:15,19:00,45,-1,0,6
O733,,Shower,08/03/2021,24,Monday,19:00,19:15,15,0,,
UD415,O733,Texting ,08/03/2021,24,Monday,19:30,20:30,60,2,0,
ED145,,Dinner,08/03/2021,24,Monday,20:30,21:15,45,1,,
UD415,L418,Playing Games,08/03/2021,24,Monday,21:30,00:00,150,2,,6
S801,,,09/03/2021,24,Tuesday,02:00,10:15,495,-1,2,
ED145,,Breakfast,09/03/2021,24,Tuesday,10:30,11:00,30,0,,
EL642,UD415,,09/03/2021,24,Tuesday,11:15,13:45,150,-1,3,6
ED145,,Lunch,09/03/2021,24,Tuesday,14:00,14:45,45,,0,
CW982,,,09/03/2021,24,Tuesday,15:00,20:00,300,-2,4,2
O733,,Shower,09/03/2021,24,Tuesday,20:30,21:00,30,,,
ED145,,Dinner,09/03/2021,24,Tuesday,21:00,21:30,30,-1,,
UD415,L418,Gaming,09/03/2021,24,Tuesday,21:45,00:00,135,2,1,3
S801,,,10/03/2021,24,Wednesday,01:15,07:45,390,-1,4,
ED145,,Breakfast,10/03/2021,24,Wednesday,08:15,08:45,30,-1,0,
X893,L418,Bike ridding,10/03/2021,24,Wednesday,09:00,12:15,195,2,1,7
O733,,Shower,10/03/2021,24,Wednesday,12:30,13:00,30,2,,
ED145,,Lunch,10/03/2021,24,Wednesday,13:15,14:00,45,1,,
EL642,R523,,10/03/2021,24,Wednesday,14:15,17:30,195,1,3,4
CW982,,,10/03/2021,24,Wednesday,18:00,20:30,150,0,4,5
ED145,,Dinner,10/03/2021,24,Wednesday,20:30,21:15,45,,,
UD415,L418,Gamming,10/03/2021,24,Wednesday,21:45,23:30,105,2,0,8
