PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,To what extent were you immersed in nature?,How did taking part in this activity change your mood?
S801,,,03/03/2021,23,Wednesday,22:30,08:15,585,1,indoors,"Calm & Peaceful -> Calm & Peaceful,"
CW982,,,04/03/2021,23,Thursday,08:15,09:15,60,1,indoors,"Calm & Peaceful -> Calm & Peaceful,"
ED145,,,04/03/2021,23,Thursday,09:15,09:30,15,1,indoors,"Calm & Peaceful -> Calm & Peaceful,"
X893,,,04/03/2021,23,Thursday,09:30,10:15,45,2,urban green space,"Calm & Peaceful -> Energetic,"
EL642,,,04/03/2021,23,Thursday,10:15,12:15,120,0,indoors,"Energetic -> Calm & Peaceful,"
ED145,,,04/03/2021,23,Thursday,12:15,12:45,30,1,indoors,"Gloomy -> Energetic,"
X893,,,04/03/2021,23,Thursday,12:45,13:45,60,2,urban green space,"Energetic -> Energetic,"
UD415,,,04/03/2021,23,Thursday,13:45,14:15,30,1,indoors,"Energetic -> Calm & Peaceful,"
EL642,,,04/03/2021,23,Thursday,14:15,15:15,60,0,indoors,"Calm & Peaceful -> Calm & Peaceful,"
CW982,,,04/03/2021,23,Thursday,15:15,17:45,150,-1,indoors,"Calm & Peaceful -> Gloomy,"
ED145,,,04/03/2021,23,Thursday,17:45,18:15,30,1,indoors,"Gloomy -> Calm & Peaceful,"
CW982,,,04/03/2021,23,Thursday,18:15,19:30,75,-1,indoors,"Calm & Peaceful -> Gloomy,"
L418,,,04/03/2021,23,Thursday,19:30,22:30,180,2,indoors,"Gloomy -> Calm & Peaceful,"
R523,,,04/03/2021,23,Thursday,22:30,22:45,15,1,indoors,"Calm & Peaceful -> Calm & Peaceful,"
S801,,,04/03/2021,23,Thursday,22:45,07:45,540,1,indoors,"Calm & Peaceful -> Calm & Peaceful,"
CW982,,,05/03/2021,23,Friday,07:45,09:15,90,0,indoors,"Calm & Peaceful -> Calm & Peaceful,"
ED145,,,05/03/2021,23,Friday,09:15,09:30,15,1,indoors,"Calm & Peaceful -> Calm & Peaceful,"
X893,,,05/03/2021,23,Friday,09:30,10:15,45,2,urban green space,"Calm & Peaceful -> Energetic,"
EL642,,,05/03/2021,23,Friday,10:15,11:15,60,-1,indoors,"Energetic -> Gloomy,"
UD415,,,05/03/2021,23,Friday,11:15,12:15,60,0,indoors,"Gloomy -> Gloomy,"
EL642,,,05/03/2021,23,Friday,12:15,13:15,60,-1,indoors,"Gloomy -> Gloomy,"
ED145,,,05/03/2021,23,Friday,13:15,14:15,60,2,urban streets,"Gloomy -> Energetic,"
EL642,,,05/03/2021,23,Friday,14:15,15:15,60,-1,indoors,"Energetic -> Calm & Peaceful,"
CW982,,,05/03/2021,23,Friday,15:15,16:15,60,1,urban green space,"Calm & Peaceful -> Calm & Peaceful,"
EL642,,,05/03/2021,23,Friday,16:15,17:15,60,0,indoors,"Calm & Peaceful -> Calm & Peaceful,"
H179,,,05/03/2021,23,Friday,17:15,18:00,45,-1,indoors,"Calm & Peaceful -> Calm & Peaceful,"
ED145,,,05/03/2021,23,Friday,18:00,18:30,30,1,indoors,"Calm & Peaceful -> Energetic,"
CW982,,,05/03/2021,23,Friday,18:30,21:30,180,-1,indoors,"Energetic -> Gloomy,"
L418,,,05/03/2021,23,Friday,21:30,22:00,30,2,indoors,"Gloomy -> Calm & Peaceful,"
UD415,,,05/03/2021,23,Friday,22:00,22:30,30,1,indoors,"Calm & Peaceful -> Calm & Peaceful,"
R523,,,05/03/2021,23,Friday,22:30,22:45,15,1,indoors,"Calm & Peaceful -> Calm & Peaceful,"
S801,,,05/03/2021,23,Friday,22:45,08:45,600,1,indoors,"Calm & Peaceful -> Calm & Peaceful,"
ED145,,,06/03/2021,23,Saturday,08:45,09:00,15,0,indoors,"Calm & Peaceful -> Calm & Peaceful,"
X893,,,06/03/2021,23,Saturday,09:00,14:30,330,2,rural escape,"Calm & Peaceful -> Energetic,"
UD415,,,06/03/2021,23,Saturday,14:30,15:30,60,1,indoors,"Calm & Peaceful -> Calm & Peaceful,"
L418,,,06/03/2021,23,Saturday,15:30,17:30,120,2,indoors,"Calm & Peaceful -> Energetic,"
ED145,,,06/03/2021,23,Saturday,17:30,18:00,30,1,indoors,"Energetic -> Calm & Peaceful,"
H179,,,06/03/2021,23,Saturday,18:00,18:30,30,0,indoors,"Calm & Peaceful -> Calm & Peaceful,"
L418,,,06/03/2021,23,Saturday,18:30,21:30,180,2,indoors,"Calm & Peaceful -> Calm & Peaceful,"
R523,,,06/03/2021,23,Saturday,21:30,22:30,60,1,indoors,"Calm & Peaceful -> Calm & Peaceful,"
S801,,,06/03/2021,23,Saturday,22:30,08:00,570,1,indoors,"Calm & Peaceful -> Calm & Peaceful,"
