PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Lightcolour,Lightintensity
S801,,sleeping,2021-03-08,24.0,Monday,00:00:00,09:00:00,540.0,2.0,dark,-2.0
ED145,UD415,Eating,2021-03-08,24.0,Monday,09:00:00,10:00:00,60.0,,Natural light,0.0
EL642,,Online lecture,2021-03-08,24.0,Monday,10:15:00,12:15:00,120.0,-1.0,Natural light,0.0
ED145,,Eating,2021-03-08,24.0,Monday,12:15:00,13:15:00,60.0,1.0,Natural light,0.0
S801,,sleeping,2021-03-08,24.0,Monday,13:30:00,14:30:00,60.0,,Natural light,-1.0
O733,,studying,2021-03-08,24.0,Monday,14:30:00,16:00:00,90.0,0.0,yellow,0.0
shopping,,Shopping,2021-03-08,24.0,Monday,16:00:00,17:45:00,105.0,-1.0,Natural light,-1.0
H179,,Cooking,2021-03-08,24.0,Monday,17:45:00,19:00:00,75.0,-1.0,white,1.0
ED145,,Eating,2021-03-08,24.0,Monday,19:00:00,19:45:00,45.0,1.0,white,1.0
O733,,Uses the Phone,2021-03-08,24.0,Monday,19:45:00,21:45:00,120.0,2.0,yellow,-1.0
L418,UD415,Bathing,2021-03-08,24.0,Monday,21:45:00,22:15:00,30.0,2.0,white,0.0
L418,UD415,Uses the Phone,2021-03-08,24.0,Monday,22:15:00,23:30:00,75.0,1.0,dark,-2.0
S801,,sleeping,2021-03-09,24.0,Tuesday,00:00:00,10:00:00,600.0,1.0,dark,-2.0
EL642,UD415,Online lecture,2021-03-09,24.0,Tuesday,10:15:00,12:15:00,120.0,-2.0,white,1.0
ED145,,Eating,2021-03-09,24.0,Tuesday,12:15:00,12:30:00,15.0,0.0,white,2.0
EL642,,Online lecture,2021-03-09,24.0,Tuesday,12:30:00,13:15:00,45.0,0.0,white,2.0
X893,,do Exercise ,2021-03-09,24.0,Tuesday,13:15:00,14:15:00,60.0,1.0,Natural light,1.0
EL642,,Online lecture,2021-03-09,24.0,Tuesday,14:15:00,15:15:00,60.0,0.0,white,1.0
O733,,Uses the Phone,2021-03-09,24.0,Tuesday,15:15:00,19:45:00,270.0,1.0,white,0.0
ED145,L418,Eating,2021-03-09,24.0,Tuesday,19:45:00,20:30:00,45.0,2.0,orange,1.0
CW982,,studying,2021-03-09,24.0,Tuesday,20:30:00,23:00:00,150.0,1.0,yellow,1.0
O733,,Uses the Phone,2021-03-09,24.0,Tuesday,23:00:00,23:45:00,45.0,2.0,yellow,0.0
S801,,sleeping,2021-03-10,24.0,Wednesday,00:00:00,10:15:00,615.0,1.0,dark,-2.0
EL642,,Online lecture,2021-03-10,24.0,Wednesday,10:15:00,14:15:00,240.0,1.0,Natural light,1.0
ED145,,Eating,2021-03-10,24.0,Wednesday,14:15:00,15:00:00,45.0,2.0,Natural light,1.0
shopping,,Shopping,2021-03-10,24.0,Wednesday,15:00:00,17:30:00,150.0,1.0,Natural light,0.0
ED145,,Eating,2021-03-10,24.0,Wednesday,17:45:00,18:30:00,45.0,-1.0,white,1.0
X893,,do Exercise ,2021-03-10,24.0,Wednesday,18:30:00,19:30:00,60.0,1.0,Natural light,0.0
L418,,Bathing,2021-03-10,24.0,Wednesday,19:30:00,20:00:00,30.0,2.0,white,1.0
UD415,L418,Uses the Phone,2021-03-10,24.0,Wednesday,20:15:00,21:00:00,45.0,1.0,yellow,0.0
T695,L418,Transferring,2021-03-10,24.0,Wednesday,21:00:00,23:00:00,120.0,2.0,dark,0.0
R523,,studying,2021-03-10,24.0,Wednesday,23:00:00,23:45:00,45.0,2.0,orange,1.0
