,PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,SrartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Feeling,Weather
0,S801,,Sleeping,2021-03-07,23,Sunday,01:00:00,08:30:00,450,,,
1,X893,,Walking,2021-03-07,23,Sunday,08:30:00,08:45:00,15,0.0,0.0,Cloudy
2,H179,,Shopping,2021-03-07,23,Sunday,08:45:00,09:00:00,15,1.0,,
3,X893,,Walking,2021-03-07,23,Sunday,09:00:00,09:15:00,15,0.0,,Cloudy
4,R523,,Reading a book,2021-03-07,23,Sunday,09:15:00,10:15:00,60,1.0,,
5,UD415,,Browsing web on laptop,2021-03-07,23,Sunday,10:15:00,11:30:00,75,0.0,,
6,ED145,,Lunch,2021-03-07,23,Sunday,11:30:00,12:00:00,30,2.0,,
7,R523,,Reading a book,2021-03-07,23,Sunday,12:00:00,14:00:00,120,1.0,,
8,L418,UD415,Talking with friends,2021-03-07,23,Sunday,14:00:00,16:00:00,120,1.0,,
9,L418,UD415,Watching a Youtube,2021-03-07,23,Sunday,16:00:00,19:00:00,180,0.0,,
10,ED145,,Dinner,2021-03-07,23,Sunday,19:00:00,20:00:00,60,1.0,,
11,X893,,Walking,2021-03-07,23,Sunday,20:00:00,21:00:00,60,0.0,,
12,CW982,,Coursework,2021-03-07,23,Sunday,21:00:00,22:00:00,60,-1.0,,
13,L418,UD415,Watching a Movie,2021-03-07,23,Sunday,22:00:00,02:30:00,270,0.0,1.0,
14,S801,,Sleep,2021-03-08,24,Monday,02:30:00,09:30:00,420,,,
15,ED145,,Breakfast,2021-03-08,24,Monday,09:30:00,09:45:00,15,1.0,1.0,
16,CW982,,Coursework,2021-03-08,24,Monday,09:45:00,11:30:00,105,-1.0,,
17,ED145,,Lunch,2021-03-08,24,Monday,11:30:00,12:00:00,30,1.0,,
18,X893,,Walking,2021-03-08,24,Monday,12:00:00,12:45:00,15,1.0,,Sunny
19,UD415,,Using SNS,2021-03-08,24,Monday,12:45:00,13:00:00,15,0.0,,
20,EL642,,Online lecture,2021-03-08,24,Monday,13:00:00,14:15:00,75,0.0,,
21,EL642,,Online lecture,2021-03-08,24,Monday,14:15:00,15:15:00,60,0.0,,
22,CW982,,Coursework,2021-03-08,24,Monday,15:15:00,18:00:00,165,-1.0,,
23,H179,,Cooking,2021-03-08,24,Monday,18:00:00,19:00:00,60,1.0,,
24,ED145,,Dinner,2021-03-08,24,Monday,19:00:00,20:00:00,60,2.0,,
25,L418,UD415,Talking with friends,2021-03-08,24,Monday,20:00:00,22:00:00,120,1.0,,
26,H179,,Cleaning my room,2021-03-08,24,Monday,22:00:00,23:00:00,60,0.0,,
27,L418,UD415,Watching a Youtube,2021-03-08,24,Monday,23:00:00,01:00:00,120,1.0,2.0,
28,S801,,Sleep,2021-03-09,24,Tuesday,01:00:00,08:00:00,420,,,
29,R523,,Reading a book,2021-03-09,24,Tuesday,08:00:00,09:30:00,90,1.0,1.0,
30,X893,,Walking,2021-03-09,24,Tuesday,09:30:00,10:00:00,30,0.0,,Cloudy
31,UD415,,Using SNS,2021-03-09,24,Tuesday,10:00:00,10:15:00,15,0.0,,
32,EL642,UD415,Online lecture,2021-03-09,24,Tuesday,10:15:00,13:15:00,180,0.0,,
33,ED145,,Lunch,2021-03-09,24,Tuesday,13:15:00,14:15:00,60,1.0,,
34,CW982,,Coursework,2021-03-09,24,Tuesday,14:15:00,15:15:00,60,-1.0,,
35,X893,,Working out,2021-03-09,24,Tuesday,15:15:00,16:00:00,45,0.0,,
36,H179,,Cleaning my room,2021-03-09,24,Tuesday,16:00:00,16:30:00,30,0.0,,
37,X893,,Walking,2021-03-09,24,Tuesday,16:30:00,17:00:00,30,0.0,,Rainy
38,H179,,Shopping,2021-03-09,24,Tuesday,17:00:00,17:15:00,15,0.0,,
39,X893,,Walking,2021-03-09,24,Tuesday,17:15:00,17:30:00,15,0.0,,Rainy
40,R523,L418,Reading a book,2021-03-09,24,Tuesday,17:30:00,18:00:00,30,1.0,,
41,ED145,,Dinner,2021-03-09,24,Tuesday,18:00:00,19:00:00,60,2.0,,
42,CW982,,Coursework,2021-03-09,24,Tuesday,19:00:00,21:00:00,120,0.0,,
43,L418,UD415,Listenig a music,2021-03-09,24,Tuesday,21:00:00,22:00:00,60,0.0,,
44,UD415,L418,Watching a Youtbe,2021-03-09,24,Tuesday,22:00:00,01:00:00,180,1.0,1.0,
