PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,CompletedWith,AlertnessLevel
S801,,,10/03/21,24,Wednesday,00:00,08:15,495,,,
O733,,Showering and dressing,10/03/21,24,Wednesday,08:15,09:00,45,2,Alone,Low
ED145,,,10/03/21,24,Wednesday,09:00,09:15,15,2,Alone,Average
EL642,,,10/03/21,24,Wednesday,09:15,11:15,120,0,Alone,Average
CW982,UD415,,10/03/21,24,Wednesday,11:15,13:00,105,1,Alone,Average
ED145,UD415,Lunch,10/03/21,24,Wednesday,13:00,13:30,30,1,Family,Average
L418,X893,Walk,10/03/21,24,Wednesday,13:30,14:30,60,2,Family,High
CW982,,,10/03/21,24,Wednesday,14:30,15:15,45,1,Alone,High
EL642,,,10/03/21,24,Wednesday,15:15,16:15,60,1,Alone,High
CW982,UD415,,10/03/21,24,Wednesday,16:15,17:00,45,0,Alone,Average
PW101,,,10/03/21,24,Wednesday,17:00,18:00,60,1,Work colleagues,High
H179,UD415,,10/03/21,24,Wednesday,18:00,18:30,30,1,Family,High
ED145,UD415,Dinner,10/03/21,24,Wednesday,18:30,19:00,30,2,Family,Average
L418,UD415,,10/03/21,24,Wednesday,19:00,20:30,90,2,Family,Average
CW982,UD415,,10/03/21,24,Wednesday,20:30,22:00,90,0,Alone,Average
UD415,,,10/03/21,24,Wednesday,22:00,23:00,60,0,Family,Low
S801,,,10/03/21,24,Wednesday,23:00,09:30,630.0,,,
O733,,shower,11/03/21,24,Thursday,09:30,10:00,30,2,Alone,Average
ED145,,breakfast,11/03/21,24,Thursday,10:00,10:15,15,2,Family,High
CW982,,,11/03/21,24,Thursday,10:15,13:30,195,1,Alone,Average
L418,X893,walk,11/03/21,24,Thursday,13:30,14:15,45,2,Family,High
ED145,UD415,lunch,11/03/21,24,Thursday,14:15,14:30,15,2,Family,High
CW982,UD415,,11/03/21,24,Thursday,14:30,15:15,45,2,Alone,High
EL642,,,11/03/21,24,Thursday,15:15,17:15,120,1,Alone,Average
CW982,,,11/03/21,24,Thursday,17:15,18:00,45,1,Family,Average
H179,,,11/03/21,24,Thursday,18:00,18:15,15,-1,Family,Average
L418,X893,walk,11/03/21,24,Thursday,18:15,18:45,30,2,Family,High
ED145,UD415,,11/03/21,24,Thursday,18:45,19:15,30,2,Family,High
UD415,,tv,11/03/21,24,Thursday,19:15,20:30,75,2,Family,Low
CW982,,,11/03/21,24,Thursday,20:30,23:15,165,-1,Alone,Average
H179,,,11/03/21,24,Thursday,23:15,23:45,30,-1,Family,Low
S801,,,11/03/21,24,Thursday,23:45,09:00,555.0,,,
CW982,,,12/03/21,24,Friday,09:00,11:30,150,0,Alone,Average
UD415,,,12/03/21,24,Friday,11:30,12:00,30,1,Alone,Average
O733,,shower,12/03/21,24,Friday,12:00,12:45,45,1,Alone,Average
H179,,,12/03/21,24,Friday,12:45,13:15,30,-2,Family,High
ED145,,,12/03/21,24,Friday,13:15,14:15,60,2,Family,High
UD415,,,12/03/21,24,Friday,14:15,15:00,45,1,Family,Average
EL642,,,12/03/21,24,Friday,15:00,17:30,150,0,Alone,High
L418,X893,Walk,12/03/21,24,Friday,17:30,18:15,45,2,Family,High
ED145,UD415,,12/03/21,24,Friday,18:15,19:00,45,2,Family,Average
CW982,R523,,12/03/21,24,Friday,19:00,20:30,90,1,Alone,Average
UD415,,tv,12/03/21,24,Friday,20:30,23:00,150,2,Family,Average
L418,,,12/03/21,24,Friday,23:00,23:45,45,2,Family,Average
S801,,,12/03/21,24,Friday,23:45,00:00,15,,,
