PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,SleepQuality,Mood
S801,,,05/03/2021,23,Friday,01:00,09:15,495,,0,
L418,UD415,Watching TV,05/03/2021,23,Friday,09:30,10:00,30,-1,,1
ED145,,Breakfast,05/03/2021,23,Friday,10:00,10:15,15,2,,1
X893,,,05/03/2021,23,Friday,11:00,12:00,60,2,,1
EL642,UD415,Lecture,05/03/2021,23,Friday,12:00,13:00,60,,,0
CW982,,,05/03/2021,23,Friday,13:00,13:45,45,0,,0
ED145,,Lunch,05/03/2021,23,Friday,13:45,14:15,30,2,,1
EL642,UD415,,05/03/2021,23,Friday,14:15,15:15,60,,,
CW982,,,05/03/2021,23,Friday,15:15,16:15,60,0,,-1
EL642,UD415,Lecture,05/03/2021,23,Friday,16:15,17:15,60,0,,-1
CW982,,,05/03/2021,23,Friday,17:15,18:15,60,0,,-1
EL642,UD415,Lecture,05/03/2021,23,Friday,18:15,19:15,60,0,,0
CW982,,,05/03/2021,23,Friday,19:15,20:15,60,0,,0
ED145,,Dinner,05/03/2021,23,Friday,20:15,20:45,30,2,,1
L418,UD415,Watching TV,05/03/2021,23,Friday,21:00,23:45,165,2,,1
L418,UD415,Watching TV,06/03/2021,23,Saturday,00:00,01:30,90,2,,1
S801,,,06/03/2021,23,Saturday,02:00,10:00,480,,1,
ED145,,Breakfast,06/03/2021,23,Saturday,10:30,11:00,30,2,,1
CW982,UD415,,06/03/2021,23,Saturday,11:30,14:00,150,,,1
ED145,,Lunch,06/03/2021,23,Saturday,14:15,15:00,45,2,,1
CW982,UD415,,06/03/2021,23,Saturday,15:00,19:00,240,1,,1
L418,,,06/03/2021,23,Saturday,19:30,00:30,300,,,
S801,,,09/03/2021,24,Tuesday,01:00,09:00,480,,1,
L418,UD415,Watching TV,09/03/2021,24,Tuesday,09:00,10:45,105,2,,1
X893,,,09/03/2021,24,Tuesday,11:00,12:00,60,2,,1
EL642,UD415,,09/03/2021,24,Tuesday,12:15,15:15,180,,,0
ED145,,Lunch,09/03/2021,24,Tuesday,15:15,15:45,30,2,,1
EL642,UD415,,09/03/2021,24,Tuesday,16:15,17:15,60,0,,1
CW982,UD415,,09/03/2021,24,Tuesday,18:00,20:00,120,,,1
ED145,,Dinner,09/03/2021,24,Tuesday,20:00,20:30,30,2,,1
L418,,Watching TV,09/03/2021,24,Tuesday,21:00,00:15,195,2,,1
