PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,LocationCode,ConcentrationScore
L418,UD415,Phone in bed,24/02/2021,22,Wednesday,00:00,00:15,15,0,,
S801,,,24/02/2021,22,Wednesday,00:15,08:45,510,1,,
UD415,L418,On phone in bed,24/02/2021,22,Wednesday,08:45,09:15,30,0,,
O733,,Shower/dressed,24/02/2021,22,Wednesday,09:15,09:30,15,1,,
EL642,UD415,,24/02/2021,22,Wednesday,09:30,10:00,30,2,HP183,3
ED145,CW982,Breakfast ,24/02/2021,22,Wednesday,10:00,10:15,15,2,HP183,4
CW982,UD415,,24/02/2021,22,Wednesday,10:15,13:15,180,1,HP183,3
ED145,L418,Lunch,24/02/2021,22,Wednesday,13:15,14:15,60,2,,
CW982,UD415,,24/02/2021,22,Wednesday,14:15,17:45,210,-1,HP183,2
L418,UD415,Poker,24/02/2021,22,Wednesday,17:45,18:15,30,2,,
CW982,UD415,,24/02/2021,22,Wednesday,18:15,19:15,60,-2,HS492,1
ED145,,Dinner,24/02/2021,22,Wednesday,19:15,20:00,45,1,,
L418,O733,Admin in front of telly,24/02/2021,22,Wednesday,20:00,22:30,150,1,,
L418,UD415,Telly/games,24/02/2021,22,Wednesday,22:30,23:30,60,1,,
L418,UD415,TV in bed,24/02/2021,22,Wednesday,23:30,00:00,30,1,,
S801,,,25/02/2021,22,Thursday,00:15,08:45,510,1,,
UD415,L418,On phone in bed,25/02/2021,22,Thursday,08:45,09:15,30,0,,
O733,,Shower/ready,25/02/2021,22,Thursday,09:15,09:30,15,1,,
EL642,UD415,,25/02/2021,22,Thursday,09:30,10:00,30,1,HP183,3
ED145,,Breakfast,25/02/2021,22,Thursday,10:00,10:30,30,1,,
EL642,UD415,,25/02/2021,22,Thursday,10:30,12:00,90,1,HP183,3
CW982,UD415,,25/02/2021,22,Thursday,12:00,13:00,60,1,HS492,2
CW982,UD415,,25/02/2021,22,Thursday,13:00,14:00,60,1,HP183,3
ED145,L418,,25/02/2021,22,Thursday,14:00,15:00,60,1,,
CW982,T695,,25/02/2021,22,Thursday,15:00,16:00,60,0,UP294,3
X893,L418,Walk,25/02/2021,22,Thursday,16:00,18:00,120,2,,
CW982,UD415,,25/02/2021,22,Thursday,18:00,19:00,60,1,HP183,3
ED145,,,25/02/2021,22,Thursday,19:00,19:15,15,1,,
CW982,UD415,,25/02/2021,22,Thursday,19:15,21:00,105,1,HS492,2
L418,,,25/02/2021,22,Thursday,21:00,00:00,180,-2,,
S801,,,26/02/2021,22,Friday,00:00,08:30,510,0,,
UD415,L418,Phone in bed,26/02/2021,22,Friday,08:30,09:00,30,0,,
O733,,Shower and ready,26/02/2021,22,Friday,09:00,09:15,15,1,,
ED145,L418,Breakfast,26/02/2021,22,Friday,09:15,09:30,15,0,,
L418,UD415,Watched TV,26/02/2021,22,Friday,09:30,10:30,60,1,,
CW982,UD415,,26/02/2021,22,Friday,10:30,12:45,135,1,HS492,3
ED145,L418,Lunch,26/02/2021,22,Friday,12:45,13:45,60,2,,
CW982,UD415,,26/02/2021,22,Friday,13:45,15:15,90,1,US402,2
PW101,UD415,,26/02/2021,22,Friday,15:15,16:30,75,2,,
X893,,Walk,26/02/2021,22,Friday,16:30,18:00,90,1,,
ED145,,Dinner,26/02/2021,22,Friday,18:00,19:00,60,2,,
L418,,,26/02/2021,22,Friday,19:00,05:00,600,2,,
