,PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Attentiveness,NoOfDevices
0,S801,,Sleeping,2021-03-08,24,Monday,,00:00:00,495.0,1,,0
1,ED145,UD415,Eating/ Drinking,2021-03-08,24,Monday,00:00:00,08:15:00,45.0,-1,0.0,2
2,O733,,Other,2021-03-08,24,Monday,08:15:00,09:00:00,90.0,0,0.0,1
3,CW982,,Coursework,2021-03-08,24,Monday,09:00:00,10:30:00,30.0,0,-1.0,2
4,ED145,UD415,Eating/ Drinking,2021-03-08,24,Monday,10:30:00,11:00:00,105.0,0,1.0,3
5,CW982,,Coursework,2021-03-08,24,Monday,11:00:00,12:45:00,60.0,-1,1.0,2
6,ED145,UD415,Eating/ Drinking,2021-03-08,24,Monday,12:45:00,13:45:00,75.0,1,0.0,2
7,X893,,Exercise,2021-03-08,24,Monday,13:45:00,15:00:00,90.0,2,2.0,1
8,CW982,,Coursework,2021-03-08,24,Monday,15:00:00,16:30:00,30.0,-2,1.0,2
9,ED145,R523,Eating/ Drinking,2021-03-08,24,Monday,16:30:00,17:00:00,60.0,-1,2.0,2
10,H179,UD415,Housework,2021-03-08,24,Monday,17:00:00,18:00:00,105.0,0,1.0,2
11,ED145,UD415,Eating/ Drinking,2021-03-08,24,Monday,18:00:00,19:45:00,15.0,0,0.0,2
12,H179,,Housework,2021-03-08,24,Monday,19:45:00,20:00:00,165.0,1,1.0,2
13,L418,,Leisure,2021-03-08,24,Monday,20:00:00,22:45:00,60.0,1,2.0,3
14,L418,UD415,Leisure,2021-03-08,24,Monday,22:45:00,23:45:00,570.0,2,-1.0,3
15,S801,,Sleeping,2021-03-09,24,Tuesday,23:45:00,09:15:00,30.0,2,,0
16,O733,,Other,2021-03-09,24,Tuesday,09:15:00,09:45:00,45.0,1,0.0,1
17,ED145,,Eating/ Drinking,2021-03-09,24,Tuesday,09:45:00,10:30:00,90.0,1,0.0,2
18,EL642,UD415,Education/ Lectures,2021-03-09,24,Tuesday,10:30:00,12:00:00,45.0,1,1.0,2
19,CW982,,Coursework,2021-03-09,24,Tuesday,12:00:00,12:45:00,45.0,1,0.0,2
20,ED145,H179,Eating/ Drinking,2021-03-09,24,Tuesday,12:45:00,13:30:00,75.0,0,2.0,3
21,X893,UD415,Exercise,2021-03-09,24,Tuesday,13:30:00,14:45:00,15.0,1,2.0,1
22,O733,,Other,2021-03-09,24,Tuesday,14:45:00,15:00:00,30.0,-1,-1.0,1
23,X893,UD415,Exercise,2021-03-09,24,Tuesday,15:00:00,15:30:00,60.0,0,1.0,1
24,CW982,,Coursework,2021-03-09,24,Tuesday,15:30:00,16:30:00,15.0,1,1.0,2
25,ED145,,Eating/ Drinking,2021-03-09,24,Tuesday,16:30:00,16:45:00,90.0,1,1.0,3
26,CW982,,Coursework,2021-03-09,24,Tuesday,16:45:00,18:15:00,75.0,0,0.0,3
27,ED145,,Eating/ Drinking,2021-03-09,24,Tuesday,18:15:00,19:30:00,15.0,0,2.0,4
28,H179,,Housework,2021-03-09,24,Tuesday,19:30:00,19:45:00,105.0,2,2.0,2
29,L418,UD415,Leisure,2021-03-09,24,Tuesday,19:45:00,21:30:00,90.0,2,0.0,2
30,L418,,Leisure,2021-03-09,24,Tuesday,21:30:00,23:00:00,75.0,-1,1.0,3
31,R523,UD415,Reading,2021-03-10,24,Wednesday,23:00:00,00:15:00,510.0,0,2.0,1
32,S801,,Sleeping,2021-03-10,24,Wednesday,00:15:00,08:45:00,30.0,1,,0
