PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Self-weighing?,Weight
S801,,,2021/3/1,23,Monday,,8:30:00,,1,Yes,55.45
S801,,,2021/3/1,23,Monday,1:00:00,,,1,Yes,55.5
S801,,,2021/3/1,23,Monday,1:00:00,8:30:00,450,,,
ED145,,,2021/3/1,23,Monday,9:00,9:30,30,1,No,
ED145,,,2021/3/1,23,Monday,12:30,13:00,30,1,No,
ED145,,,2021/3/1,23,Monday,19:30,20:15,45,1,No,
ED145,,Bubble tea,2021/3/1,23,Monday,15:00,15:15,15,2,No,
EL642,,Monday (no leactures),2021/3/1,23,Monday,,,60,,,
CW982,,Machine learning 2,2021/3/1,23,Monday,9:45,10:45,75,-2,No,
CW982,,Bayesian ML,2021/3/1,23,Monday,11:00,12:15,75,-1,No,
CW982,,Bayesian ML,2021/3/1,23,Monday,13:30,14:45,75,0,No,
R523,,,2021/3/1,23,Monday,0:30,0:50,20,1,No,
EL642,,self review RL,2021/3/1,23,Monday,15:00,17:00,120,1,No,
UD415,,,2021/3/1,23,Monday,10:45,11:00,15,2,No,
H179,,,2021/3/1,23,Monday,20:30,21:30,60,0,No    ,
X893,,,2021/3/1,23,Monday,17:15,18:15,60,1,Yes,55.43
L418,,,2021/3/1,23,Monday,18:30,19:30,60,2,No,
L418,,using ipad,2021/3/1,23,Monday,21:30,23:30,120,2,No,
T695,,,2021/3/1,23,Monday,,,,,,
PW101,,,2021/3/1,23,Monday,,,,,,
O733,,shower,2021/3/1,23,Monday,23:30,0:30,60,2,No,
S801,,,2021/3/2,23,Tuesday,,8:30:00,,1,Yes,55.4
S801,,,2021/3/2,23,Tuesday,23:50:00,,,1,Yes,55.52
S801,,,2021/3/2,23,Tuesday,23:50:00,8:30:00,520,,,
ED145,,,2021/3/2,23,Tuesday,8:45,9:00,15,1,No,
ED145,,,2021/3/2,23,Tuesday,11:20,12:00,40,1,No,
ED145,,,2021/3/2,23,Tuesday,19:30,20:15,45,1,No,
ED145,,,2021/3/2,23,Tuesday,,,,,,
EL642,,RL,2021/3/2,23,Tuesday,9:15,10:15,60,1,No,
EL642,,applied ds,2021/3/2,23,Tuesday,10:15,11:15,60,0,No,
EL642,,Bayesian ML,2021/3/2,23,Tuesday,12:15,13:15,60,0,No,
EL642,,RL,2021/3/2,23,Tuesday,13:15,14:15,60,2,No,
EL642,,project preparation,2021/3/2,23,Tuesday,16:15,18:15,120,-1,No,
CW982,,RL CW,2021/3/2,23,Tuesday,14:30,15:45,75,-1,No,
R523,,,2021/3/2,23,Tuesday,0:30,0:50,20,1,No,
EL642,,,2021/3/2,23,Tuesday,,,,,,
UD415,,,2021/3/2,23,Tuesday,15:45,16:10,25,2,No,
H179,,,2021/3/2,23,Tuesday,20:40,21:00,20,0,No    ,
X893,,,2021/3/2,23,Tuesday,,,,,,
L418,,,2021/3/2,23,Tuesday,18:30,19:30,60,2,No,
L418,,,2021/3/2,23,Tuesday,21:00,23:30,150,2,No,
T695,,,2021/3/2,23,Tuesday,,,,,,
PW101,,,2021/3/2,23,Tuesday,,,,,,
O733,,,2021/3/2,23,Tuesday,,,,,,
S801,,,2021/3/3,23,Wendnesday,,7:45:00,,2,Yes,55.42
S801,,,2021/3/3,23,Wendnesday,0:30:00,,,1,Yes,55.39
S801,,,2021/3/3,23,Wendnesday,0:30:00,7:45:00,435,,,
ED145,,,2021/3/3,23,Wendnesday,8:00,8:30,30,2,No,
ED145,,,2021/3/3,23,Wendnesday,12:00,12:45,45,1,No,
ED145,,,2021/3/3,23,Wendnesday,19:30,20:15,45,1,No,
ED145,,Bubble tea,2021/3/3,23,Wendnesday,15:00,15:15,15,2,No,
EL642,,IPT,2021/3/3,23,Wendnesday,,,,,,
CW982,,RL CW,2021/3/3,23,Wendnesday,9:45,11:45,120,-2,No,
CW982,,ML 2,2021/3/3,23,Wendnesday,13:30,15:00,90,-1,No,
R523,,,2021/3/3,23,Wendnesday,23:45,0:20,35,1,No,
EL642,,self review ,2021/3/3,23,Wendnesday,18:00,19:20,80,1,No,
UD415,,,2021/3/3,23,Wendnesday,10:45,11:00,15,2,No,
H179,,,2021/3/3,23,Wendnesday,20:30,21:30,60,0,No    ,
X893,,,2021/3/3,23,Wendnesday,15:30,16:20,50,1,Yes,55.35
L418,,,2021/3/3,23,Wendnesday,17:20,18:00,100,2,No,
L418,,using ipad,2021/3/3,23,Wendnesday,21:30,23:30,120,2,No,
T695,,,2021/3/3,23,Wendnesday,,,,,,
PW101,,,2021/3/3,23,Wendnesday,,,,,,
O733,,shower,2021/3/3,23,Wendnesday,16:20,17:20,60,2,No,
