PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,StressLevel,ConcentrationLevel
S801, ,Sleeping,08/03/2021,24,Monday,00:00:00,08:30:00,510,2.0,0,3
ED152, ,Breakfast,08/03/2021,24,Monday,08:45:00,09:30:00,45,2.0,0,5
CW982, ,ADS Lab 3,08/03/2021,24,Monday,09:30:00,11:30:00,120,1.0,4,5
CW982,L418,ML Lab with music,08/03/2021,24,Monday,11:30:00,12:30:00,60,2.0,5,3
O733,L418,Making Lunch with music,08/03/2021,24,Monday,12:30:00,13:15:00,45,2.0,0,5
EL642, ,ENTP Lecture,08/03/2021,24,Monday,13:15:00,14:15:00,59,0.0,4,5
CW982, ,ADS Lab 3,08/03/2021,24,Monday,14:15:00,15:30:00,75,1.0,3,3
T695,ED152,Travel to sainsbury and having coffee,08/03/2021,24,Monday,15:30:00,17:00:00,90,2.0,3,3
X893, ,Running,08/03/2021,24,Monday,17:00:00,17:45:00,45,2.0,3,4
H179, ,Laundry,08/03/2021,24,Monday,17:45:00,18:00:00,14,1.0,2,2
O733,ED152,Making Dinner and eating,08/03/2021,24,Monday,18:00:00,19:00:00,59,2.0,5,5
CW982, ,BML Lab2,08/03/2021,24,Monday,19:00:00,20:00:00,60,0.0,0,5
UD415, ,Watching Suits,08/03/2021,24,Monday,20:00:00,21:30:00,90,2.0,5,5
R253, ,reading a novel,08/03/2021,24,Monday,21:30:00,23:00:00,90,2.0,1,5
UD415, ,Instagram,08/03/2021,24,Monday,23:00:00,00:00:00,59,2.0,5,5
S801, ,Sleeping,09/03/2021,24,Tuesday,00:00:00,08:30:00,510,2.0,0,3
ED152, ,Breakfast,09/03/2021,24,Tuesday,08:45:00,09:30:00,45,2.0,0,5
L418, ,Video call with Family,09/03/2021,24,Tuesday,09:30:00,10:15:00,45,2.0,0,5
EL642, ,ADS queries,09/03/2021,24,Tuesday,10:15:00,11:15:00,60,1.0,5,4
O733,L418,Making Lunch with music,09/03/2021,24,Tuesday,11:15:00,12:15:00,59,2.0,0,2
EL642,ED152,BML Lecture with lunch,09/03/2021,24,Tuesday,12:15:00,13:15:00,60,1.0,5,5
UD415, ,Playing Minecraft,09/03/2021,24,Tuesday,13:15:00,14:15:00,59,2.0,2,2
CW982, ,ADS Lab 3,09/03/2021,24,Tuesday,14:15:00,15:15:00,59,0.0,5,4
EL642, ,ENTP Lecture,09/03/2021,24,Tuesday,15:15:00,16:15:00,60,1.0,4,4
EL642, ,Research Project Lecture,09/03/2021,24,Tuesday,16:15:00,18:15:00,119,-1.0,4,4
H179, ,Dishes,09/03/2021,24,Tuesday,18:15:00,18:45:00,30,1.0,3,3
L418, ,Tea and snacks with friends,09/03/2021,24,Tuesday,18:45:00,19:45:00,59,2.0,3,3
O733,L418,Making Dinner with music,09/03/2021,24,Tuesday,20:00:00,21:00:00,59,2.0,0,3
ED152,UD415,Dininer while watching suits,09/03/2021,24,Tuesday,21:00:00,22:00:00,59,2.0,5,5
UD415, ,Watching Suits,09/03/2021,24,Tuesday,22:00:00,23:00:00,60,2.0,0,3
UD415, ,Instagram and youtube,09/03/2021,24,Tuesday,23:00:00,00:00:00,59,2.0,0,1
S801, ,Sleeping,10/03/2021,24,Wednesday,00:00:00,08:30:00,510,2.0,0,0
ED152, ,Breakfast,10/03/2021,24,Wednesday,08:45:00,09:15:00,30,2.0,0,0
EL642, ,Online IPT,10/03/2021,24,Wednesday,09:15:00,13:15:00,240,-1.0,1,1
O733,L418,Making Lunch with music,10/03/2021,24,Wednesday,13:15:00,14:00:00,45,2.0,0,2
ED152,UD415,Lunch while watching suits,10/03/2021,24,Wednesday,14:00:00,15:00:00,59,2.0,0,2
CW982, ,ML Lab,10/03/2021,24,Wednesday,15:00:00,16:30:00,90,1.0,5,5
UD415, ,Playing Minecraft,10/03/2021,24,Wednesday,16:30:00,17:30:00,59,2.0,1,4
H179, ,Dishes,10/03/2021,24,Wednesday,17:30:00,18:00:00,30,0.0,1,1
L418, ,Singing Kareoke,10/03/2021,24,Wednesday,18:00:00,19:00:00,59,2.0,1,3
O733,L418,Making Dinner with music,10/03/2021,24,Wednesday,19:00:00,19:45:00,45,2.0,1,3
ED152,UD415,Dininer while watching suits,10/03/2021,24,Wednesday,19:45:00,20:30:00,45,2.0,0,5
UD415, ,Watching Suits,10/03/2021,24,Wednesday,20:30:00,21:30:00,60,2.0,0,1
CW982, ,ADS Lab 3,10/03/2021,24,Wednesday,21:30:00,23:00:00,90,1.0,3,3
ED152,L418,Having Tea with roommates,10/03/2021,24,Wednesday,23:00:00,23:30:00,29,2.0,0,0
UD415, ,Instagram,10/03/2021,24,Wednesday,23:30:00,00:00:00,30,2.0,0,0
