PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,DayOfWeek,UniBathWeekNo,StartTime,EndTime,DurationMins,EnjoymentScore,Process of Completing the project,TimeApproachingDDL
S801,,sleeping,2021-03-03,Wed,23.0,04:00:00,10:00:00,360.0,2,0.0,4
R523,EL642,reading,2021-03-03,Wed,23.0,10:10:00,11:30:00,80.0,0,0.0,4
H179,UD415,making lunch,2021-03-03,Wed,23.0,11:30:00,11:45:00,15.0,0,0.0,4
ED145,,eating,2021-03-03,Wed,23.0,11:45:00,12:00:00,15.0,1,0.0,4
EL642,UD415,meating online,2021-03-03,Wed,23.0,12:00:00,12:30:00,30.0,0,0.0,4
L418,UD415,playing mobile game,2021-03-03,Wed,23.0,12:35:00,13:30:00,55.0,2,0.0,4
S801,,taking a nap,2021-03-03,Wed,23.0,13:30:00,14:30:00,60.0,2,0.0,4
EL642,UD415,wacthing online learning video,2021-03-03,Wed,23.0,14:40:00,16:40:00,120.0,0,0.0,4
R523,UD415,Read online novels,2021-03-03,Wed,23.0,16:40:00,17:40:00,60.0,1,0.0,4
UD415,,making dinner,2021-03-03,Wed,23.0,17:45:00,18:10:00,25.0,-1,0.0,4
ED145,,eating,2021-03-03,Wed,23.0,18:10:00,18:40:00,30.0,2,0.0,4
H179,,washing dishes,2021-03-03,Wed,23.0,18:40:00,18:55:00,15.0,-2,0.0,4
H179,,washing clothes,2021-03-03,Wed,23.0,19:00:00,19:20:00,20.0,-1,0.0,4
L418,UD415,browsing,2021-03-03,Wed,23.0,19:20:00,21:00:00,100.0,1,0.0,4
CW982,UD415,coursework,2021-03-03,Wed,23.0,21:10:00,21:40:00,30.0,0,0.05,4
L418,UD415,browsing,2021-03-03,Wed,23.0,21:40:00,22:00:00,20.0,1,0.05,4
CW982,UD415,coursework,2021-03-03,Wed,23.0,22:00:00,22:30:00,30.0,0,0.1,4
L418,UD415,browsing,2021-03-03,Wed,23.0,22:30:00,22:50:00,20.0,1,0.1,4
CW982,UD415,coursework,2021-03-03,Wed,23.0,22:50:00,23:10:00,20.0,0,0.15,4
L418,UD415,waching TV,2021-03-03,Wed,23.0,23:10:00,00:30:00,80.0,1,0.15,4
O733,,taking a bath,2021-03-04,Thur,23.0,00:30:00,00:50:00,20.0,2,0.15,3
L418,UD415,browsing,2021-03-04,Thur,23.0,00:50:00,01:40:00,50.0,1,0.15,3
S801,,sleeping,2021-03-04,Thur,23.0,01:50:00,09:50:00,480.0,2,0.15,3
ED145,,eating,2021-03-04,Thur,23.0,10:00:00,10:15:00,15.0,1,0.15,3
EL642,UD415,lecture,2021-03-04,Thur,23.0,10:15:00,11:15:00,60.0,0,0.15,3
EL642,UD415,lecture,2021-03-04,Thur,23.0,11:15:00,12:15:00,60.0,0,0.15,3
H179,UD415,making lunch,2021-03-04,Thur,23.0,12:20:00,12:50:00,30.0,0,0.15,3
