PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Coursework productivity level,pick up phone during coursework
S801,,Sleeping,08/03/2021,24.0,Monday,23:30,08:30,540.0,0.0,,
O733,,Dressing up,09/03/2021,24.0,Tuesday,08:30,08:45,15.0,0.0,,
ED145,,Breakfast,09/03/2021,24.0,Tuesday,08:45,09:15,30.0,1.0,,
UD415,L418,Watching Television,09/03/2021,24.0,Tuesday,09:15,10:15,60.0,2.0,,
EL642,UD415,Online lecture,09/03/2021,24.0,Tuesday,10:15,13:15,180.0,1.0,,
ED145,,Lunch,09/03/2021,24.0,Tuesday,13:15,14:15,60.0,1.0,,
EL642,UD415,Online lecture,09/03/2021,24.0,Tuesday,14:15,15:15,60.0,1.0,,
T695,,Travelling to another place,09/03/2021,24.0,Tuesday,15:15,15:30,15.0,-1.0,,
X893,,Exercise,09/03/2021,24.0,Tuesday,15:30,17:30,120.0,2.0,,
T695,,Travelling to another place,09/03/2021,24.0,Tuesday,17:30,17:45,15.0,-1.0,,
EL642,UD415,Studying,09/03/2021,24.0,Tuesday,17:45,18:15,30.0,1.0,,
ED145,,Dinner,09/03/2021,24.0,Tuesday,18:15,18:45,30.0,1.0,,
CW982,UD415,Coursework,09/03/2021,24.0,Tuesday,18:45,21:45,180.0,0.0,-1.0,Y
L418,UD415,Using mobile,09/03/2021,24.0,Tuesday,21:45,22:45,60.0,2.0,,
O733,,Shower,09/03/2021,24.0,Tuesday,22:45,23:30,45.0,0.0,,
S801,,Sleeping,09/03/2021,24.0,Tuesday,23:30,08:30,540.0,0.0,,
O733,,Dressing up,10/03/2021,24.0,Wednesday,08:30,08:45,15.0,0.0,,
ED145,,Breakfast,10/03/2021,24.0,Wednesday,08:45,09:15,30.0,1.0,,
R523,,Reading a book,10/03/2021,24.0,Wednesday,09:15,11:30,135.0,1.0,,
L418,UD415,Watching Television,10/03/2021,24.0,Wednesday,11:30,12:30,60.0,2.0,,
ED145,,Lunch,10/03/2021,24.0,Wednesday,12:30,13:00,30.0,1.0,,
EL642,UD415,Studying,10/03/2021,24.0,Wednesday,13:00,14:15,75.0,0.0,,
EL642,UD415,Online lecture,10/03/2021,24.0,Wednesday,14:15,18:15,240.0,1.0,,
ED145,,Dinner,10/03/2021,24.0,Wednesday,18:15,18:45,30.0,1.0,,
T695,,Travelling to another place,10/03/2021,24.0,Wednesday,18:45,19:00,15.0,-1.0,,
X893,,Exercise,10/03/2021,24.0,Wednesday,19:00,21:00,120.0,2.0,,
T695,,Travelling to another place,10/03/2021,24.0,Wednesday,21:00,21:15,15.0,-1.0,,
CW982,UD415,Coursework,10/03/2021,24.0,Wednesday,21:15,23:00,105.0,0.0,2.0,N
O733,,Shower,10/03/2021,24.0,Wednesday,23:00,23:30,30.0,0.0,,
S801,,Sleeping,10/03/2021,24.0,Wednesday,23:30,08:30,540.0,0.0,,
O733,,Dressing up,11/03/2021,24.0,Thursday,08:30,08:45,15.0,0.0,,
ED145,,Breakfast,11/03/2021,24.0,Thursday,08:45,09:15,30.0,1.0,,
H179,,Housework,11/03/2021,24.0,Thursday,09:15,10:15,60.0,-1.0,,
EL642,UD415,Online lecture,11/03/2021,24.0,Thursday,10:15,12:15,120.0,1.0,,
ED145,,Lunch,11/03/2021,24.0,Thursday,12:15,12:45,30.0,1.0,,
L418,UD415,Watching Television,11/03/2021,24.0,Thursday,12:45,14:15,90.0,2.0,,
EL642,UD415,Online lecture,11/03/2021,24.0,Thursday,14:15,15:15,60.0,1.0,,
T695,,Travelling to another place,11/03/2021,24.0,Thursday,15:15,15:30,15.0,-1.0,,
X893,,Exercise,11/03/2021,24.0,Thursday,17:30,18:30,60.0,2.0,,
T695,,Travelling to another place,11/03/2021,24.0,Thursday,18:30,18:45,15.0,-1.0,,
CW982,,Coursework,11/03/2021,24.0,Thursday,18:45,21:45,180.0,0.0,-1.0,Y
L418,,Watching Television,11/03/2021,24.0,Thursday,21:45,22:45,60.0,2.0,,
O733,,Shower,11/03/2021,24.0,Thursday,22:45,23:30,45.0,0.0,,
S801,,Sleeping,11/03/2021,24.0,Thursday,23:30,08:30,540.0,0.0,,
