Activity Code,2nd Activity Code,Activity Description,Date,Uni of Bath week,Day of week,Start Time,End Time,DurationMins,Tiredness Rating,Screen-based Activity?
R523,,,2021-02-21,21,Sunday,07:30:00,08:00:00,30.0,6,0
X893,,,2021-02-21,21,Sunday,08:00:00,08:30:00,30.0,8,1
H179,,,2021-02-21,21,Sunday,08:30:00,09:00:00,30.0,4,0
O733,,,2021-02-21,21,Sunday,09:00:00,09:30:00,30.0,2,0
ED145,,,2021-02-21,21,Sunday,09:30:00,10:30:00,60.0,2,0
CW982,UD415,,2021-02-21,21,Sunday,10:30:00,12:30:00,120.0,3,1
ED145,,,2021-02-21,21,Sunday,12:30:00,13:00:00,30.0,2,0
X893,,,2021-02-21,21,Sunday,13:00:00,13:45:00,45.0,3,0
CW982,,,2021-02-21,21,Sunday,13:45:00,17:00:00,195.0,5,1
ED145,,,2021-02-21,21,Sunday,17:00:00,18:30:00,90.0,3,0
PW101,,,2021-02-21,21,Sunday,18:30:00,19:30:00,60.0,5,1
L418,UD415,,2021-02-21,21,Sunday,19:30:00,21:30:00,120.0,6,1
S801,,,2021-02-21,21,Sunday,21:30:00,23:59:00,149.0,7,0
S801,,,2021-02-22,22,Monday,00:01:00,06:45:00,404.0,2,0
R523,,,2021-02-22,22,Monday,06:45:00,07:15:00,30.0,3,0
O733,,,2021-02-22,22,Monday,07:15:00,08:00:00,45.0,2,0
ED145,,,2021-02-22,22,Monday,08:00:00,08:30:00,30.0,2,0
CW982,UD415,,2021-02-22,22,Monday,08:30:00,12:30:00,240.0,3,1
ED145,,,2021-02-22,22,Monday,12:30:00,13:00:00,30.0,2,0
X893,,,2021-02-22,22,Monday,13:00:00,13:30:00,30.0,1,0
CW982,,,2021-02-22,22,Monday,13:30:00,14:15:00,45.0,1,1
El642,UD415,,2021-02-22,22,Monday,14:15:00,15:05:00,50.0,3,1
CW982,,,2021-02-22,22,Monday,15:05:00,18:00:00,175.0,4,1
X893,,,2021-02-22,22,Monday,18:00:00,19:00:00,60.0,3,0
ED145,,,2021-02-22,22,Monday,19:00:00,19:30:00,30.0,2,0
PW101,,,2021-02-22,22,Monday,19:30:00,20:30:00,60.0,4,1
L418,,,2021-02-22,22,Monday,20:30:00,21:30:00,60.0,5,1
S801,,,2021-02-22,22,Monday,21:30:00,23:59:00,149.0,6,0
S801,,,2021-02-23,22,Tuesday,00:01:00,07:00:00,419.0,2,0
R523,,,2021-02-23,22,Tuesday,07:00:00,07:30:00,30.0,3,0
O733,,,2021-02-23,22,Tuesday,07:30:00,08:00:00,30.0,2,0
ED145,,,2021-02-23,22,Tuesday,08:00:00,08:30:00,30.0,1,0
PW101,UD415,,2021-02-23,22,Tuesday,08:30:00,09:45:00,75.0,2,1
El642,UD415,,2021-02-23,22,Tuesday,10:05:00,13:05:00,180.0,2,1
X893,,,2021-02-23,22,Tuesday,13:05:00,13:35:00,30.0,1,0
ED145,,,2021-02-23,22,Tuesday,13:35:00,14:00:00,25.0,1,0
El642,UD415,,2021-02-23,22,Tuesday,14:15:00,15:15:00,60.0,3,1
CW982,,,2021-02-23,22,Tuesday,15:15:00,17:45:00,150.0,3,1
O733,,,2021-02-23,22,Tuesday,17:45:00,18:15:00,30.0,3,0
ED145,,,2021-02-23,22,Tuesday,18:15:00,19:30:00,75.0,3,0
PW101,,,2021-02-23,22,Tuesday,19:30:00,20:30:00,60.0,3,1
L418,UD415,,2021-02-23,22,Tuesday,20:30:00,21:45:00,75.0,5,1
S801,,,2021-02-23,22,Tuesday,21:45:00,23:59:00,134.0,4,0
