PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,CoffeeCups,StressScore
S801,,Sleeping,01/03/2021,23,Monday,23:15:00,08:00:00,525,,,
O733,,Getting dressed,02/03/2021,23,Tuesday,08:00:00,08:30:00,30,0.0,0.0,0.0
ED145,,Breakfast,02/03/2021,23,Tuesday,08:30:00,09:00:00,30,1.0,1.0,0.0
UD415,L418,Using phone,02/03/2021,23,Tuesday,09:00:00,09:15:00,15,1.0,0.0,-1.0
EL642,UD415,Online lectures,02/03/2021,23,Tuesday,09:15:00,11:15:00,120,-1.0,0.0,1.0
ED145,L418,Taking a break,02/03/2021,23,Tuesday,11:15:00,12:15:00,60,0.0,1.0,0.0
EL642,UD415,Online lectures,02/03/2021,23,Tuesday,12:15:00,14:15:00,120,-1.0,0.0,1.0
ED145,,Lunch,02/03/2021,23,Tuesday,14:15:00,15:15:00,60,0.0,0.0,0.0
UD415,L418,Browsing web on laptop,02/03/2021,23,Tuesday,15:15:00,16:15:00,60,1.0,0.0,0.0
CW982,ED145,Working on deadlines,02/03/2021,23,Tuesday,16:15:00,18:15:00,120,-1.0,1.0,1.0
X893,UD415,Cardio with music,02/03/2021,23,Tuesday,18:15:00,19:30:00,75,1.0,0.0,-1.0
O733,,Shower,02/03/2021,23,Tuesday,19:30:00,20:00:00,30,0.0,0.0,-1.0
ED145,UD415,Dinner,02/03/2021,23,Tuesday,20:00:00,21:00:00,60,1.0,0.0,0.0
CW982,UD415,Working on deadlines,02/03/2021,23,Tuesday,21:00:00,22:00:00,60,0.0,0.0,1.0
UD415,L418,Netflix,02/03/2021,23,Tuesday,22:00:00,23:00:00,60,1.0,0.0,0.0
S801,,Sleeping,03/03/2021,23,Wednesday,23:15:00,08:00:00,525,,,
ED145,UD415,Breakfast,04/03/2021,23,Thursday,08:00:00,08:30:00,30,1.0,1.0,0.0
X893,O733,Gym workout,04/03/2021,23,Thursday,08:30:00,10:00:00,90,1.0,0.0,0.0
O733,,Shower,04/03/2021,23,Thursday,10:00:00,10:15:00,15,0.0,0.0,0.0
EL642,UD415,Online lectures,04/03/2021,23,Thursday,10:15:00,12:15:00,120,-1.0,0.0,1.0
CW982,UD415,Working on deadlines,04/03/2021,23,Thursday,12:15:00,13:30:00,75,-1.0,1.0,1.0
ED145,,Lunch,04/03/2021,23,Thursday,13:30:00,14:30:00,60,0.0,0.0,0.0
UD415,L418,Using phone,04/03/2021,23,Thursday,14:30:00,15:15:00,45,1.0,0.0,0.0
EL642,UD415,Online lectures,04/03/2021,23,Thursday,15:15:00,17:15:00,120,-1.0,0.0,1.0
ED145,UD415,Taking a break,04/03/2021,23,Thursday,17:15:00,18:00:00,45,0.0,1.0,0.0
CW982,UD415,Working on deadlines,04/03/2021,23,Thursday,18:00:00,19:45:00,105,-1.0,0.0,1.0
H179,,Cleaning,04/03/2021,23,Thursday,19:45:00,20:15:00,30,-1.0,0.0,1.0
ED145,UD415,Dinner,04/03/2021,23,Thursday,20:15:00,21:00:00,45,0.0,0.0,0.0
R523,EL642,Emails for course,04/03/2021,23,Thursday,21:00:00,22:00:00,60,0.0,0.0,0.0
UD415,L418,Netflix,04/03/2021,23,Thursday,22:00:00,23:00:00,60,1.0,0.0,-1.0
UD415,L418,Using phone,04/03/2021,23,Thursday,23:00:00,23:15:00,15,0.0,0.0,0.0
S801,,Sleeping,04/03/2021,23,Thursday,23:15:00,08:00:00,525,,,
ED145,UD415,Breakfast,05/03/2021,23,Friday,08:00:00,08:15:00,15,0.0,1.0,0.0
X893,O733,Gym workout,05/03/2021,23,Friday,08:15:00,09:45:00,90,1.0,0.0,1.0
O733,,Getting dressed,05/03/2021,23,Friday,09:45:00,10:15:00,30,0.0,0.0,0.0
EL642,UD415,Online lectures,05/03/2021,23,Friday,10:15:00,12:15:00,120,-1.0,0.0,0.0
O733,UD415,Walking dog,05/03/2021,23,Friday,12:15:00,12:45:00,30,1.0,0.0,-1.0
EL642,R523,Revising notes,05/03/2021,23,Friday,12:45:00,13:15:00,30,0.0,0.0,-1.0
EL642,UD415,Online lecture,05/03/2021,23,Friday,13:15:00,14:15:00,60,-1.0,0.0,0.0
ED145,,Lunch,05/03/2021,23,Friday,14:15:00,15:00:00,45,0.0,0.0,-1.0
UD415,L418,Browsing web on laptop,05/03/2021,23,Friday,15:00:00,15:30:00,30,1.0,0.0,-1.0
CW982,UD415,Working on deadlines,05/03/2021,23,Friday,15:30:00,17:30:00,120,-1.0,0.0,0.0
ED145,UD415,Taking a break,05/03/2021,23,Friday,17:30:00,18:00:00,30,1.0,0.0,0.0
CW982,UD415,Working on deadlines,05/03/2021,23,Friday,18:00:00,19:30:00,90,-1.0,0.0,0.0
O733,,Shower,05/03/2021,23,Friday,19:30:00,20:00:00,30,1.0,0.0,-1.0
ED145,L418,Dinner,05/03/2021,23,Friday,20:00:00,21:00:00,60,1.0,0.0,-1.0
R523,EL642,Emails for course,05/03/2021,23,Friday,21:00:00,22:00:00,60,0.0,0.0,0.0
UD415,L418,Netflix,05/03/2021,23,Friday,22:00:00,23:00:00,60,2.0,0.0,-2.0
