PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,WithOthers,NumberOfPeople
S801,,,10/03/2021,24,Wednesday,00:00,09:15,555,,Yes,1
R523,UD415,,10/03/2021,24,Wednesday,09:15,10:00,45,-1.0,No,0
O733,UD415,Interview,10/03/2021,24,Wednesday,10:00,11:00,60,1.0,Yes,1
L418,UD415,,10/03/2021,24,Wednesday,11:00,12:30,90,2.0,No,0
O733,,Lunch,10/03/2021,24,Wednesday,12:30,13:00,30,1.0,Yes,1
EL642,UD415,,10/03/2021,24,Wednesday,13:00,15:00,120,-1.0,No,0
L418,UD415,,10/03/2021,24,Wednesday,15:00,16:00,60,2.0,No,0
EL642,UD415,,10/03/2021,24,Wednesday,16:00,17:15,75,-1.0,No,0
O733,,Dinner,10/03/2021,24,Wednesday,17:15,18:00,45,2.0,Yes,1
EL642,UD415,,10/03/2021,24,Wednesday,18:00,19:15,75,-1.0,No,0
L418,UD415,Playstation,10/03/2021,24,Wednesday,19:15,21:00,105,2.0,Yes,4+ 
EL642,UD415,,10/03/2021,24,Wednesday,21:00,22:00,60,0.0,No,0
L418,UD415,Playstation,10/03/2021,24,Wednesday,22:00,23:30,90,2.0,Yes,4+ 
EL642,UD415,,10/03/2021,24,Wednesday,23:30,00:00,30,-1.0,No,0
S801,,,11/03/2021,24,Thursday,00:00,10:00,600,2.0,Yes,1
L418,UD415,,11/03/2021,24,Thursday,10:00,11:00,60,1.0,No,0
EL642,UD415,,11/03/2021,24,Thursday,11:00,12:00,60,-1.0,No,0
O733,,Lunch,11/03/2021,24,Thursday,12:00,12:15,15,1.0,Yes,1
X893,,Walk,11/03/2021,24,Thursday,12:15,13:45,90,1.0,Yes,1
EL642,UD415,,11/03/2021,24,Thursday,13:45,16:00,135,-1.0,No,0
L418,UD415,,11/03/2021,24,Thursday,16:00,17:30,90,2.0,Yes,1
O733,,Shower,11/03/2021,24,Thursday,17:30,17:45,15,0.0,No,0
EL642,UD415,,11/03/2021,24,Thursday,17:45,19:00,75,-1.0,No,0
O733,,Dinner,11/03/2021,24,Thursday,19:00,19:15,15,1.0,Yes,1
L418,UD415,Playstation,11/03/2021,24,Thursday,19:15,22:00,165,2.0,Yes,4+ 
EL642,UD415,,11/03/2021,24,Thursday,22:00,00:00,120,0.0,No,0
S801,,,12/03/2021,24,Friday,00:00,12:30,750,1.0,No,0
O733,,Shower,12/03/2021,24,Friday,12:30,12:45,15,1.0,No,0
O733,,Lunch,12/03/2021,24,Friday,12:45,13:15,30,1.0,No,0
EL642,UD415,,12/03/2021,24,Friday,13:15,16:00,165,-1.0,No,0
X893,,Walk,12/03/2021,24,Friday,16:00,17:00,60,2.0,No,0
EL642,UD415,,12/03/2021,24,Friday,17:00,18:30,90,-1.0,No,0
O733,,Dinner,12/03/2021,24,Friday,18:30,19:00,30,2.0,No,0
EL642,UD415,,12/03/2021,24,Friday,19:00,21:30,150,-1.0,No,0
L418,UD415,Playstation,12/03/2021,24,Friday,21:30,00:00,150,2.0,No,0
